"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-03 12:30:00",5145,12.92316,305,1,0.328,2.83,6.66,0.25024,0.58942,0.22546,0.42986,67.14,51.671
"2024-08-03 13:00:00",5146,12.92316,305,1,0.327,2.78,6.69,0.24578,0.5918,0.21162,0.43271,61.994,53.017
"2024-08-03 13:30:00",5147,12.92148,305,1,0.327,2.91,6.53,0.25719,0.57798,-99,0.4391,-99,53.625
"2024-08-03 14:00:00",5148,12.92904,305,1,0.346,3.14,6.83,0.27763,0.60442,0.23466,0.4392,62.31,49.76
"2024-08-03 14:30:00",5149,12.9198,305,1,0.345,3.14,6.81,0.27804,0.60276,0.25054,0.45062,66.01,52.885
"2024-08-03 15:00:00",5150,12.91728,305,1,0.35,3.01,7.12,0.26632,0.62992,0.22161,0.44891,60.975,51.175
"2024-08-03 15:30:00",5151,12.91477,305,1,0.33,2.77,6.81,0.24544,0.60264,0.20611,0.42954,60.426,50.362
"2024-08-03 16:00:00",5152,12.9198,305,1,0.283,2.02,6.31,0.17872,0.55856,0.15975,0.40346,62.699,52.48
"2024-08-03 16:30:00",5153,12.92316,305,1,0.314,2.79,6.28,0.24686,0.5559,0.21587,0.39342,64.378,50.576
"2024-08-03 17:00:00",5154,12.91393,305,1,0.249,1.71,5.64,0.15168,0.49913,0.11054,0.34189,57.363,50.204
"2024-08-03 17:30:00",5155,12.91896,305,1,0.284,2.41,5.83,0.21358,0.51618,0.17354,0.34246,60.147,50.908
