"TOA5","CR200Series_601","CR200X","No_SN","CR200X.Std.02","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-16 12:30:00",5770,13.31602,601,1,4.911,8.71,6.62,0.68332,0.51896,0.4078,0.10676,37.988,30.399
"2024-08-16 13:00:00",5771,13.29923,601,1,5.305,9.62,6.93,0.75402,0.54372,0.42212,0.10849,37.548,29.538
"2024-08-16 13:30:00",5772,13.30175,601,1,5.187,9.41,6.77,0.73758,0.53128,0.42196,0.09946,37.431,29.995
"2024-08-16 14:00:00",5773,13.28328,601,1,5.045,9.11,6.63,0.7142,0.51956,0.4121,0.0946,3.01,29.533
"2024-08-16 14:30:00",5774,13.2816,601,1,4.861,8.73,6.44,0.68484,0.50528,0.40378,0.09699,38.34,29.908
"2024-08-16 15:00:00",5775,13.27573,601,1,4.776,8.63,6.27,0.67682,0.49181,0.39298,0.08497,37.77,28.922
"2024-08-16 15:30:00",5776,13.26817,601,1,4.645,8.59,5.89,0.67386,0.46178,0.3706,0.07462,37.853,28.436
"2024-08-16 16:00:00",5777,13.25726,601,1,4.721,8.7,6.02,0.68246,0.47196,0.37738,0.07887,37.765,29.178
"2024-08-16 16:30:00",5778,13.25222,601,1,4.507,8.35,5.7,0.65498,0.4471,0.354,0.0662,38.211,28.537
"2024-08-16 17:00:00",5779,13.2539,601,1,3.958,7.48,4.85,0.5864,0.38048,0.30862,0.04118,38.371,28.282
"2024-08-16 17:30:00",5780,13.23963,601,1,3.73,7.03,4.59,0.5511,0.36005,0.2959,0.0354,38.334,28.241
