"TOA5","CR200Series_506","CR200X","No_SN","CR200X.Std.00","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-16 14:00:00",6041,13.12463,506,1,0.434,5.25,6.83,0.4643,0.60452,0.40653,0.27763,69.255,60.251
"2024-09-16 14:30:00",6042,13.0709,506,1,0.367,4.47,5.73,0.39524,0.50748,0.34699,0.214,69.678,59.572
"2024-09-16 15:00:00",6043,13.06587,506,1,0.359,4.29,5.72,0.37964,0.50586,0.33464,0.21706,71.638,61.527
"2024-09-16 15:30:00",6044,13.06335,506,1,0.406,4.81,6.52,0.42592,0.57725,0.3747,0.25976,68.566,62.056
"2024-09-16 16:00:00",6045,13.06335,506,1,0.383,4.61,6.05,0.40772,0.53581,0.3576,0.23043,68.436,61.25
"2024-09-16 16:30:00",6046,13.06754,506,1,0.351,4.22,5.56,0.3736,0.49176,0.3314,0.2067,69.725,60.04
"2024-09-16 17:00:00",6047,13.06167,506,1,0.307,3.68,4.88,0.32612,0.43156,0.28222,0.15581,70.572,58.797
"2024-09-16 17:30:00",6048,13.06419,506,1,0.261,3.13,4.15,0.27725,0.3677,0.23527,0.11028,70.476,60.784
"2024-09-16 18:00:00",6049,13.06335,506,1,0.197,2.37,3.11,0.21014,0.27486,-99,0.04996,-99,59.899
"2024-09-16 18:30:00",6050,13.06335,506,1,0.116,1.37,1.88,0.12168,0.16679,-99,-0.02807,-99,58.778
"2024-09-16 19:00:00",6051,13.06251,506,1,0.045,0.44,0.85,0.03864,0.0755,0.0163,-0.09317,70.536,55.842
