"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-03-25 11:30:00",16375,13.16576,304,0,-0.019,-0.3,-0.23,-0.02771,-0.02145,-0.04281,-0.10055,55.947,39.49
"2025-03-25 12:30:00",16376,12.88623,304,0,0.019,0.33,0.18,0.02915,0.0163,-99,-0.06789,-99,42.963
"2025-03-25 13:00:00",16377,12.88371,304,0,-0.108,-2.17,-0.58,-0.19259,-0.05183,-0.16579,-0.11581,48.127,40.257
"2025-03-25 13:30:00",16378,12.93743,304,0,-0.004,-0.05,-0.09,-0.00525,-0.00915,-0.01551,-0.09341,62.94,40.1
"2025-03-25 14:00:00",16379,12.96849,304,0,-0.056,-1,-0.48,-0.08965,-0.04369,-0.10089,-0.11523,52.013,39.081
"2025-03-25 14:30:00",16380,12.94163,304,0,-0.02,-0.39,-0.14,-0.03511,-0.01311,-0.04881,-0.09889,58.11,40.168
"2025-03-25 15:00:00",16381,12.98528,304,0,-0.089,-1.45,-0.92,-0.12901,-0.08237,-0.13031,-0.13723,47.348,37.693
"2025-03-25 15:30:00",16382,12.98612,304,0,-0.074,-1.46,-0.44,-0.12985,-0.03941,-0.12973,-0.09867,55.059,42.439
"2025-03-25 16:00:00",16383,12.99032,304,0,-0.138,-2.58,-0.97,-0.22893,-0.08649,-0.18677,-0.13893,45.526,38.064
"2025-03-25 16:30:00",16384,12.97688,304,0,-0.023,-0.25,-0.42,-0.02315,-0.03847,-0.04581,-0.11873,54.152,38.514
"2025-03-25 17:00:00",16385,12.9878,304,0,-0.06,-0.9,-0.73,-0.08091,-0.06539,-0.09685,-0.13579,48.482,37.597
"2025-03-25 17:30:00",16386,12.98192,304,0,-0.058,-1.08,-0.45,-0.09657,-0.04053,-0.10039,-0.11429,50.884,39.078
"2025-03-25 18:00:00",16387,12.97437,304,0,0.018,0.51,-0.12,0.04506,-0.01161,0.02738,-0.10237,66.524,39.438
"2025-03-25 18:30:00",16388,12.97772,304,0,-0.036,-0.54,-0.45,-0.04875,-0.04095,-0.07019,-0.11915,51.145,38.523
"2025-03-25 19:00:00",16389,12.96094,304,0,-0.031,-0.47,-0.4,-0.04249,-0.03615,-0.06209,-0.11483,51.97,38.783
"2025-03-25 19:30:00",16390,12.96177,304,0,-0.029,-0.41,-0.42,-0.03743,-0.03771,-0.05705,-0.11257,53.262,38.28
"2025-03-25 20:00:00",16391,12.95674,304,0,-0.029,-0.43,-0.39,-0.03851,-0.03511,-0.05605,-0.11315,55.091,39.197
"2025-03-25 20:30:00",16392,12.95506,304,0,-0.029,-0.4,-0.41,-0.03637,-0.03683,-0.05593,-0.11297,53.669,38.844
"2025-03-25 21:00:00",16393,12.94331,304,0,-0.035,-0.57,-0.38,-0.05097,-0.03487,-0.06405,-0.11283,53.615,38.534
"2025-03-25 21:30:00",16394,12.90973,304,0,-0.032,-0.47,-0.41,-0.04239,-0.03679,-0.05781,-0.11283,53.842,39.162
"2025-03-25 22:00:00",16395,12.94247,304,0,-0.032,-0.5,-0.38,-0.04493,-0.03487,-0.06217,-0.11131,53.57,39.408
"2025-03-25 22:30:00",16396,12.94918,304,0,-0.027,-0.38,-0.38,-0.03409,-0.03495,-0.04995,-0.11145,54.03,38.946
"2025-03-25 23:00:00",16397,12.91225,304,0,-0.034,-0.5,-0.45,-0.04513,-0.04077,-0.06229,-0.11297,53.048,38.886
"2025-03-25 23:30:00",16398,12.93156,304,0,-0.029,-0.42,-0.41,-0.03833,-0.03679,-0.05573,-0.11283,54.222,38.989
"2025-03-26 00:00:00",16399,12.90217,304,0,-0.029,-0.4,-0.43,-0.03615,-0.03853,-0.05367,-0.11113,53.664,39.248
"2025-03-26 00:30:00",16400,12.93911,304,0,-0.029,-0.4,-0.43,-0.03667,-0.03893,-0.05241,-0.11333,54.626,38.715
