"TOA5","CR300Series_411","CR300","4370","CR300-RF407.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-03-25 15:00:00",11080,12.94,411,1,0.062,0.99,1.98,0.082,0.163,0.102,0.198,109.8,93.2
"2025-03-25 15:30:00",11081,12.96,411,1,0.056,0.76,1.98,0.062,0.163,0.1,0.161,81.2,76.75
"2025-03-25 16:00:00",11082,12.99,411,1,0.03,-0.02,1.68,-0.004,0.139,0.029,0.153,110,80.8
"2025-03-25 16:30:00",11083,13,411,1,0.075,1.57,1.92,0.13,0.158,0.21,0.203,109,96.7
"2025-03-25 17:00:00",11084,13.01,411,1,0.045,0.74,1.44,0.061,0.119,0.144,0.114,99.2,74.34
"2025-03-25 17:30:00",11085,13.01,411,1,0.044,0.8,1.3,0.067,0.108,0.148,0.11,107.1,75.91
"2025-03-25 18:00:00",11086,13.01,411,1,0.022,0.21,0.9,0.018,0.074,0.091,0.077,105.2,76.03
"2025-03-25 18:30:00",11087,13.01,411,1,0.003,-0.24,0.53,-0.022,0.044,0.044,0.046,101.7,74.26
"2025-03-25 19:00:00",11088,13.01,411,1,0.002,-0.14,0.32,-0.014,0.027,0.038,0.027,101,72.87
"2025-03-25 19:30:00",11089,13,411,1,-0.01,-0.56,0.21,-0.048,0.017,0.004,0.017,108,74.75
"2025-03-25 20:00:00",11090,12.99,411,1,-0.011,-0.51,0.08,-0.044,0.007,0.004,0.007,97.4,72.98
"2025-03-25 20:30:00",11091,12.99,411,1,-0.015,-0.62,0,-0.053,0,0,0.003,109.4,75.18
"2025-03-25 21:00:00",11092,12.99,411,1,-0.018,-0.66,-0.06,-0.057,-0.007,-0.009,-0.007,102.2,72.53
"2025-03-25 21:30:00",11093,12.98,411,1,-0.023,-0.83,-0.1,-0.071,-0.01,-0.032,-0.01,95.4,73.59
"2025-03-25 22:00:00",11094,12.98,411,1,-0.023,-0.8,-0.14,-0.068,-0.013,-0.026,-0.013,104.9,74.78
"2025-03-25 22:30:00",11095,12.98,411,1,-0.026,-0.89,-0.19,-0.075,-0.017,-0.031,-0.013,108.7,71.77
"2025-03-25 23:00:00",11096,12.97,411,1,-0.02,-0.73,-0.1,-0.062,-0.01,-0.016,-0.007,106.5,73.59
"2025-03-25 23:30:00",11097,12.97,411,1,-0.027,-0.94,-0.19,-0.079,-0.017,-0.04,-0.017,101.1,73.21
"2025-03-26 00:00:00",11098,12.97,411,1,-0.027,-0.9,-0.23,-0.076,-0.02,-0.032,-0.017,102.1,73.15
"2025-03-26 00:30:00",11099,12.96,411,1,-0.023,-0.82,-0.14,-0.069,-0.014,-0.023,-0.014,109.6,72.88
