"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-25 16:00:00",7696,12.89294,305,1,0.109,0.81,2.4,0.0718,0.21286,0.0576,0.10739,63.351,51.163
"2024-09-25 16:30:00",7697,12.86776,305,1,0.125,0.93,2.73,0.0822,0.24162,0.06448,0.1309,60.885,51.768
"2024-09-25 17:00:00",7698,12.91812,305,1,0.127,0.92,2.83,0.08149,0.2506,0.06087,0.13655,59.841,50.153
"2024-09-25 17:30:00",7699,12.93323,305,1,0.12,0.9,2.63,0.07928,0.23311,0.05966,0.11864,60.044,50.096
"2024-09-25 18:00:00",7700,12.93995,305,1,0.081,0.57,1.83,0.05044,0.16188,0.03342,0.05728,60.91,49.389
"2024-09-25 18:30:00",7701,12.94247,305,1,0.029,0.1,0.79,0.00908,0.06972,-0.00225,-0.02503,59.469,48.258
"2024-09-25 19:00:00",7702,12.93072,305,1,0,-0.12,0.16,-0.01135,0.01392,-0.02215,-0.06747,59.882,48.102
"2024-09-25 19:30:00",7703,12.94079,305,1,-0.016,-0.27,-0.18,-0.02481,-0.01667,-0.03525,-0.09221,59.789,48.162
"2024-09-25 20:00:00",7704,12.93491,305,1,-0.026,-0.35,-0.4,-0.03159,-0.03599,-0.04183,-0.10459,59.552,47.097
"2024-09-25 20:30:00",7705,12.93827,305,1,-0.03,-0.4,-0.46,-0.03599,-0.04153,-0.04399,-0.11453,60.489,47.46
"2024-09-25 21:00:00",7706,12.93575,305,1,-0.034,-0.45,-0.52,-0.04057,-0.04711,-0.04627,-0.11719,58.451,46.935
