"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-27 14:30:00",5794,12.99,502,0,-0.086,-2.02,-1.91,-0.109,-0.103,-0.13,-0.187,55.48,45.6
"2024-09-27 15:00:00",5795,12.92,502,0,-0.094,-2.17,-2.12,-0.117,-0.114,-0.135,-0.195,55.63,46.16
"2024-09-27 15:30:00",5796,12.93,502,0,-0.101,-2.31,-2.34,-0.123,-0.125,-0.141,-0.203,56.47,48.08
"2024-09-27 16:00:00",5797,12.93,502,0,-0.106,-2.37,-2.49,-0.128,-0.134,-0.146,-0.212,56.05,46.99
"2024-09-27 16:30:00",5798,12.94,502,0,-0.109,-2.44,-2.54,-0.131,-0.136,-0.146,-0.212,55.62,46.82
"2024-09-27 17:00:00",5799,12.94,502,0,-0.109,-2.42,-2.61,-0.13,-0.14,-0.148,-0.212,56.2,47.4
"2024-09-27 17:30:00",5800,12.94,502,0,-0.111,-2.47,-2.61,-0.133,-0.14,-0.151,-0.212,57.24,45.7
"2024-09-27 18:00:00",5801,12.94,502,0,-0.113,-2.52,-2.66,-0.136,-0.142,-0.151,-0.215,56.1,47.04
"2024-09-27 18:30:00",5802,12.95,502,0,-0.115,-2.52,-2.77,-0.136,-0.149,-0.153,-0.22,56.35,46.73
"2024-09-27 19:00:00",5803,12.95,502,0,-0.116,-2.57,-2.77,-0.138,-0.149,-0.156,-0.218,56.49,46.71
"2024-09-27 19:30:00",5804,12.95,502,0,-0.115,-2.52,-2.76,-0.135,-0.148,-0.153,-0.22,56.26,46.21
"2024-09-27 20:00:00",5805,12.95,502,0,-0.115,-2.57,-2.71,-0.138,-0.145,-0.155,-0.212,56.26,46.22
"2024-09-27 20:30:00",5806,12.96,502,0,-0.116,-2.56,-2.76,-0.137,-0.148,-0.158,-0.223,57.29,46.27
"2024-09-27 21:00:00",5807,12.96,502,0,-0.118,-2.61,-2.82,-0.14,-0.151,-0.155,-0.22,56.09,46.05
"2024-09-27 21:30:00",5808,12.96,502,0,-0.116,-2.56,-2.76,-0.137,-0.148,-0.155,-0.217,56.02,47.22
"2024-09-27 22:00:00",5809,12.96,502,0,-0.119,-2.62,-2.82,-0.141,-0.151,-0.158,-0.223,56.2,46.31
"2024-09-27 22:30:00",5810,12.96,502,0,-0.118,-2.66,-2.76,-0.143,-0.148,-0.16,-0.217,55.66,45.87
"2024-09-27 23:00:00",5811,12.96,502,0,-0.117,-2.62,-2.76,-0.141,-0.148,-0.158,-0.223,56.19,45.74
