"TOA5","CR300Series_503","CR300","27025","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-10-13 18:00:00",13260,13.03,503,0,0.067,0.45,1.54,0.04,0.136,0.033,0.036,54.2,39.13
"2024-10-13 18:30:00",13261,12.94,503,0,0.037,0.14,0.99,0.013,0.088,0.007,0.007,53.28,38.88
"2024-10-13 19:00:00",13262,12.93,503,0,0.024,0,0.75,0,0.067,-0.005,-0.005,54.48,38.31
"2024-10-13 19:30:00",13263,12.94,503,0,0.013,-0.1,0.55,-0.01,0.048,-0.012,-0.012,51.33,37.49
"2024-10-13 20:00:00",13264,12.94,503,0,0.011,-0.16,0.55,-0.015,0.048,-0.017,-0.015,51.02,37.18
"2024-10-13 20:30:00",13265,12.94,503,0,0.006,-0.22,0.48,-0.02,0.042,-0.019,-0.02,52.11,38.27
"2024-10-13 21:00:00",13266,12.95,503,0,0.005,-0.22,0.44,-0.02,0.039,-0.024,-0.032,54.71,35.88
"2024-10-13 21:30:00",13267,12.95,503,0,0.001,-0.28,0.41,-0.025,0.036,-0.029,-0.025,50.03,37.02
"2024-10-13 22:00:00",13268,12.95,503,0,0.001,-0.25,0.38,-0.023,0.033,-0.024,-0.032,52.32,40.83
"2024-10-13 22:30:00",13269,12.95,503,0,0,-0.28,0.34,-0.025,0.03,-0.024,-0.027,53.64,38.13
"2024-10-13 23:00:00",13270,12.95,503,0,0,-0.25,0.34,-0.023,0.03,-0.029,-0.025,50.66,37.09
"2024-10-13 23:30:00",13271,12.95,503,0,-0.003,-0.33,0.31,-0.03,0.027,-0.031,-0.025,52.08,38.65
"2024-10-14 00:00:00",13272,12.95,503,0,-0.001,-0.31,0.34,-0.028,0.03,-0.027,-0.022,52.24,37.41
"2024-10-14 00:30:00",13273,12.96,503,0,-0.004,-0.31,0.24,-0.028,0.021,-0.031,-0.034,52.98,38.71
"2024-10-14 01:00:00",13274,12.95,503,0,-0.004,-0.34,0.31,-0.031,0.027,-0.031,-0.03,52.37,37.69
"2024-10-14 01:30:00",13275,12.95,503,0,-0.004,-0.34,0.28,-0.031,0.024,-0.031,-0.032,52.16,37.48
"2024-10-14 02:00:00",13276,12.95,503,0,-0.006,-0.34,0.24,-0.031,0.021,-0.031,-0.032,51.76,37.75
"2024-10-14 02:30:00",13277,12.95,503,0,-0.007,-0.37,0.24,-0.033,0.021,-0.034,-0.035,52.18,37.91
"2024-10-14 03:00:00",13278,12.96,503,0,-0.008,-0.34,0.17,-0.031,0.015,-0.031,-0.037,51.66,37.96
