"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-02-18 12:00:00",13691,13.222,305,1,-0.047,-0.87,-0.36,-0.07775,-0.03305,-0.07831,-0.11433,54.483,45.026
"2025-02-18 12:30:00",13692,13.07678,305,1,-0.021,-0.25,-0.36,-0.02301,-0.03235,-0.03627,-0.11905,57.27,44.778
"2025-02-18 13:00:00",13693,12.97856,305,1,0,0.13,-0.16,0.01134,-0.01481,-0.00185,-0.10401,60.116,45.371
"2025-02-18 13:30:00",13694,12.93659,305,1,-0.006,-0.01,-0.22,-0.00195,-0.02003,-0.01331,-0.10929,60.305,46.129
"2025-02-18 14:00:00",13695,12.9198,305,1,-0.02,-0.46,-0.04,-0.04139,-0.00425,-0.03941,-0.07563,63.171,52.186
"2025-02-18 14:30:00",13696,12.93575,305,1,-0.013,-0.16,-0.23,-0.01525,-0.02083,-0.02701,-0.11433,55.229,45.081
"2025-02-18 15:00:00",13697,12.95002,305,1,-0.006,-0.04,-0.17,-0.00421,-0.01553,-0.01411,-0.11145,56.366,45.374
"2025-02-18 15:30:00",13698,12.96429,305,1,-0.007,-0.11,-0.1,-0.01029,-0.01017,-0.02387,-0.10563,57.884,44.808
"2025-02-18 16:00:00",13699,12.97772,305,1,-0.008,-0.11,-0.14,-0.01045,-0.01299,-0.02419,-0.10915,57.342,44.677
"2025-02-18 16:30:00",13700,12.97856,305,1,-0.006,-0.13,-0.05,-0.01253,-0.00517,-0.02621,-0.10677,57.251,45.002
