"TOA5","CR300Series_410","CR300","5798","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-02-18 15:00:00",11716,13.14,410,1,-0.007,0.08,-0.12,0.007,-0.012,0.002,-0.055,53.35,36.72
"2025-02-18 15:30:00",11717,13.06,410,1,0.047,0.13,0.08,0.012,0.007,0.011,-0.047,52.54,36.58
"2025-02-18 16:00:00",11718,13.02,410,1,0.117,0.33,0.19,0.029,0.017,0.026,-0.038,53.99,38.46
"2025-02-18 16:30:00",11719,13,410,1,0.069,0.18,0.13,0.016,0.012,0.015,-0.038,54.6,37.67
"2025-02-18 17:00:00",11720,12.99,410,1,0.035,0.05,0.11,0.005,0.01,0.006,-0.04,53.27,37.32
"2025-02-18 17:30:00",11721,12.98,410,1,0.104,0.32,0.14,0.029,0.012,0.025,-0.04,53.78,37.42
"2025-02-18 18:00:00",11722,12.97,410,1,0.087,0.23,0.16,0.02,0.014,0.019,-0.039,53.75,37.95
"2025-02-18 18:30:00",11723,12.96,410,1,0.085,0.25,0.13,0.022,0.012,0.021,-0.039,53.84,37.88
"2025-02-18 19:00:00",11724,12.95,410,1,0.074,0.22,0.11,0.02,0.009,0.021,-0.041,53.57,37.62
"2025-02-18 19:30:00",11725,12.94,410,1,0.067,0.17,0.13,0.015,0.012,0.017,-0.039,53.74,37.79
"2025-02-18 20:00:00",11726,12.94,410,1,0.003,0.08,-0.07,0.007,-0.007,0.013,-0.047,53.7,37.33
"2025-02-18 20:30:00",11727,12.93,410,1,-0.016,0.02,-0.1,0.002,-0.01,0.006,-0.051,52.88,37.07
"2025-02-18 21:00:00",11728,12.93,410,1,-0.038,0.02,-0.2,0.002,-0.019,0.004,-0.055,53.52,37.56
"2025-02-18 21:30:00",11729,12.93,410,1,-0.067,-0.02,-0.29,-0.002,-0.026,0.002,-0.057,53.62,37.39
"2025-02-18 22:00:00",11730,12.92,410,1,-0.102,-0.07,-0.4,-0.007,-0.036,0,-0.059,53.39,37.28
"2025-02-18 22:30:00",11731,12.92,410,1,-0.1,-0.09,-0.37,-0.009,-0.033,-0.002,-0.057,53.86,37.9
"2025-02-18 23:00:00",11732,12.92,410,1,-0.062,0.02,-0.31,0.002,-0.029,0.004,-0.059,53.09,37.12
"2025-02-18 23:30:00",11733,12.92,410,1,-0.045,0,-0.21,0,-0.019,0.002,-0.053,53.19,38.06
"2025-02-19 00:00:00",11734,12.92,410,1,-0.034,0.02,-0.18,0.002,-0.017,0.009,-0.055,53.62,38.48
"2025-02-19 00:30:00",11735,12.92,410,1,-0.022,0.1,-0.21,0.009,-0.019,0.011,-0.055,53.55,37.44
