"TOA5","CR300Series_502","CR300","27031","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-10-31 16:00:00",7339,12.94,502,1,-0.176,-0.95,-0.45,-0.085,-0.041,-0.105,-0.096,66.09,65.57
"2024-10-31 16:30:00",7340,12.9,502,1,-0.215,-1.12,-0.59,-0.1,-0.053,-0.118,-0.112,64.98,64.88
"2024-10-31 17:00:00",7341,12.91,502,1,-0.257,-1.15,-0.91,-0.102,-0.081,-0.12,-0.134,63.7,62.76
"2024-10-31 17:30:00",7342,12.92,502,1,-0.336,-1.25,-1.46,-0.111,-0.13,-0.127,-0.187,63.36,63.93
"2024-10-31 18:00:00",7343,12.93,502,1,-0.359,-1.24,-1.67,-0.111,-0.149,-0.128,-0.199,64.39,67.61
"2024-10-31 18:30:00",7344,12.93,502,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-10-31 19:00:00",7345,12.93,502,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2024-10-31 19:30:00",7346,12.93,502,1,-0.409,-1.28,-2.04,-0.114,-0.182,-0.131,-0.239,64.11,65.26
"2024-10-31 20:00:00",7347,12.94,502,1,-0.434,-1.32,-2.21,-0.118,-0.196,-0.13,-0.247,63.49,63.64
"2024-10-31 20:30:00",7348,12.94,502,1,-0.411,-1.23,-2.11,-0.11,-0.188,-0.129,-0.231,64.01,64.32
"2024-10-31 21:00:00",7349,12.93,502,1,-0.446,-1.3,-2.33,-0.116,-0.207,-0.133,-0.258,64.07,64.8
"2024-10-31 21:30:00",7350,12.93,502,1,-0.453,-1.33,-2.36,-0.118,-0.21,-0.131,-0.258,65.1,64.58
"2024-10-31 22:00:00",7351,12.93,502,1,-0.436,-1.26,-2.29,-0.113,-0.204,-0.128,-0.249,64.97,64.03
"2024-10-31 22:30:00",7352,12.93,502,1,-0.441,-1.29,-2.3,-0.115,-0.204,-0.128,-0.252,64.16,63.64
"2024-10-31 23:00:00",7353,12.93,502,1,-0.451,-1.3,-2.37,-0.116,-0.211,-0.129,-0.251,63.9,61.87
"2024-10-31 23:30:00",7354,12.93,502,1,-0.45,-1.32,-2.34,-0.118,-0.208,-0.13,-0.251,63.96,64.01
"2024-11-01 00:00:00",7355,12.93,502,1,-0.443,-1.3,-2.31,-0.116,-0.205,-0.133,-0.254,64,63.64
"2024-11-01 00:30:00",7356,12.93,502,1,-0.437,-1.29,-2.27,-0.115,-0.202,-0.132,-0.247,63.06,67.28
"2024-11-01 01:00:00",7357,12.92,502,1,-0.489,-1.34,-2.65,-0.12,-0.235,-0.131,-0.272,64.37,64.01
