"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-01-10 14:30:00",12830,13.12127,302,1,-0.06,-1.31,-1.45,-0.11007,-0.12115,-0.09257,-0.11715,86.983,75.195
"2025-01-10 15:00:00",12831,13.07342,302,1,-0.06,-1.26,-1.49,-0.10633,-0.12523,-0.08601,-0.11845,89.013,74.761
"2025-01-10 15:30:00",12832,13.05831,302,1,-0.06,-1.31,-1.45,-0.10975,-0.12147,-0.08925,-0.11751,88.525,75.009
"2025-01-10 16:00:00",12833,13.05495,302,1,-0.059,-1.25,-1.46,-0.10569,-0.12319,-0.08807,-0.11647,86.363,75.071
"2025-01-10 16:30:00",12834,13.05243,302,1,-0.062,-1.36,-1.46,-0.11427,-0.12283,-0.09645,-0.11915,87.169,75.135
"2025-01-10 17:00:00",12835,13.04908,302,1,-0.058,-1.25,-1.43,-0.10569,-0.12051,-0.09111,-0.11947,85.619,75.066
"2025-01-10 17:30:00",12836,13.04824,302,1,-0.059,-1.24,-1.46,-0.10473,-0.12251,-0.08729,-0.11881,86.061,75.509
"2025-01-10 18:00:00",12837,13.039,302,1,-0.057,-1.22,-1.39,-0.10253,-0.11715,-0.08217,-0.11613,87.225,73.957
"2025-01-10 18:30:00",12838,13.03984,302,1,-0.06,-1.31,-1.46,-0.11037,-0.12283,-0.09257,-0.11613,88.086,75.559
"2025-01-10 19:00:00",12839,13.0113,302,1,-0.058,-1.21,-1.46,-0.10223,-0.12251,-0.08195,-0.11881,89.326,77.786
