"TOA5","CR300Series_401","CR300","27022","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-01-08 14:00:00",11372,13.31,401,0,-0.372,-1.23,-0.51,-0.11,-0.046,-0.148,-0.289,47.91,29.11
"2025-01-08 14:30:00",11373,13.18,401,0,-0.213,-0.88,-0.11,-0.078,-0.011,-0.115,-0.263,51.29,31.22
"2025-01-08 15:00:00",11374,13.14,401,0,-0.304,-1.22,-0.19,-0.109,-0.018,-0.137,-0.257,54.46,34.24
"2025-01-08 15:30:00",11375,13.12,401,0,-0.317,-1.13,-0.35,-0.101,-0.032,-0.13,-0.246,54.07,33.42
"2025-01-08 16:00:00",11376,13.1,401,0,-0.322,-0.97,-0.54,-0.087,-0.049,-0.117,-0.244,55.02,34.13
"2025-01-08 16:30:00",11377,13.09,401,0,-0.358,-1.1,-0.58,-0.098,-0.052,-0.127,-0.24,55.4,35.75
"2025-01-08 17:00:00",11378,13.07,401,0,-0.308,-1.03,-0.41,-0.092,-0.037,-0.122,-0.244,56.71,36.49
"2025-01-08 17:30:00",11379,13.07,401,0,-0.276,-1,-0.29,-0.089,-0.026,-0.122,-0.248,57.03,34.88
"2025-01-08 18:00:00",11380,13.05,401,0,-0.264,-0.95,-0.28,-0.085,-0.026,-0.113,-0.24,56.06,35.59
"2025-01-08 18:30:00",11381,13.04,401,0,-0.28,-0.98,-0.33,-0.088,-0.03,-0.114,-0.23,56.9,35.85
"2025-01-08 19:00:00",11382,13.04,401,0,-0.417,-0.98,-0.99,-0.088,-0.088,-0.114,-0.257,54.2,34.4
"2025-01-08 19:30:00",11383,13.04,401,0,-0.541,-1.18,-1.38,-0.106,-0.123,-0.13,-0.285,51.3,31.8
"2025-01-08 20:00:00",11384,13.03,401,0,-0.571,-1.26,-1.44,-0.113,-0.128,-0.143,-0.288,52.38,31.49
"2025-01-08 20:30:00",11385,13.03,401,0,-0.494,-0.98,-1.36,-0.088,-0.121,-0.106,-0.283,50.77,31.69
"2025-01-08 21:00:00",11386,13.02,401,0,-0.509,-1.26,-1.14,-0.112,-0.102,-0.135,-0.287,49.11,30.04
"2025-01-08 21:30:00",11387,13.02,401,0,-0.432,-1.01,-1.03,-0.09,-0.092,-0.112,-0.273,51.51,31.02
"2025-01-08 22:00:00",11388,13.02,401,0,-0.507,-1.04,-1.36,-0.093,-0.121,-0.113,-0.282,48.96,30.3
"2025-01-08 22:30:00",11389,13.01,401,0,-0.477,-1.22,-1.03,-0.109,-0.092,-0.131,-0.283,50.15,29.67
