"TOA5","CR300Series_410","CR300","5798","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-19 16:30:00",7351,12.99,410,0,-0.007,-0.7,0.69,-0.063,0.061,-0.079,0.011,60.36,50.21
"2024-11-19 17:00:00",7352,12.96,410,0,-0.037,-0.95,0.07,-0.085,0.006,-0.1,-0.037,60.95,49.96
"2024-11-19 17:30:00",7353,12.95,410,0,-0.053,-1.09,-0.27,-0.097,-0.025,-0.11,-0.063,61.9,50.91
"2024-11-19 18:00:00",7354,12.95,410,0,-0.059,-1.16,-0.37,-0.104,-0.034,-0.116,-0.074,60.91,51.02
"2024-11-19 18:30:00",7355,12.95,410,0,-0.063,-1.17,-0.48,-0.104,-0.043,-0.117,-0.08,61.43,50.02
"2024-11-19 19:00:00",7356,12.94,410,0,-0.066,-1.19,-0.54,-0.106,-0.049,-0.121,-0.086,61.38,51.23
"2024-11-19 19:30:00",7357,12.94,410,0,-0.067,-1.19,-0.58,-0.106,-0.052,-0.119,-0.089,61.22,50.91
"2024-11-19 20:00:00",7358,12.94,410,0,-0.07,-1.25,-0.58,-0.112,-0.052,-0.124,-0.089,62.03,50.05
"2024-11-19 20:30:00",7359,12.94,410,0,-0.069,-1.22,-0.61,-0.109,-0.055,-0.121,-0.091,62.43,51.7
"2024-11-19 21:00:00",7360,12.93,410,0,-0.072,-1.24,-0.68,-0.111,-0.061,-0.123,-0.097,62.94,51.26
"2024-11-19 21:30:00",7361,12.93,410,0,-0.074,-1.27,-0.71,-0.114,-0.064,-0.123,-0.094,61.8,51.89
"2024-11-19 22:00:00",7362,12.93,410,0,-0.074,-1.24,-0.75,-0.111,-0.067,-0.12,-0.097,60.98,51.5
"2024-11-19 22:30:00",7363,12.93,410,0,-0.077,-1.3,-0.75,-0.116,-0.067,-0.126,-0.1,60.91,51.17
"2024-11-19 23:00:00",7364,12.92,410,0,-0.076,-1.3,-0.71,-0.116,-0.064,-0.126,-0.097,60.65,51.48
"2024-11-19 23:30:00",7365,12.93,410,0,-0.076,-1.27,-0.75,-0.113,-0.067,-0.126,-0.1,61.14,51.14
"2024-11-20 00:00:00",7366,12.92,410,0,-0.076,-1.28,-0.75,-0.115,-0.067,-0.129,-0.1,61.29,50.98
"2024-11-20 00:30:00",7367,12.93,410,0,-0.077,-1.27,-0.78,-0.114,-0.07,-0.126,-0.103,61.58,50.59
"2024-11-20 01:00:00",7368,12.93,410,0,-0.077,-1.3,-0.75,-0.116,-0.067,-0.128,-0.103,61.54,51.8
"2024-11-20 01:30:00",7369,12.93,410,0,-0.078,-1.3,-0.78,-0.116,-0.07,-0.128,-0.1,62.27,51.12
