"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-10-30 14:00:00",9372,13.07006,304,0,0.537,4.36,22.71,0.35956,1.64867,0.35665,1.52859,76.176,63.715
"2024-10-30 14:30:00",9373,12.91896,304,0,0.435,3.49,18.46,0.28766,1.76469,0.31428,1.56547,79.935,63.717
"2024-10-30 15:00:00",9374,12.89546,304,0,0.429,3.84,17.68,0.31753,1.46008,0.44438,1.39673,109.896,69.893
"2024-10-30 15:30:00",9375,12.94834,304,0,0.396,3.14,16.84,0.25937,1.39075,0.29298,1.33673,91.107,67.134
"2024-10-30 16:00:00",9376,12.96933,304,0,0.373,2.94,15.89,0.24259,1.31286,0.30392,1.27075,92.79,71.571
"2024-10-30 16:30:00",9377,12.97605,304,0,0.233,2.84,8.59,0.23478,1.26543,0.27704,1.22467,87.323,71.867
"2024-10-30 17:00:00",9378,12.97437,304,0,0.319,2.31,13.87,0.1914,1.14549,0.24446,1.11547,93.134,72.424
"2024-10-30 17:30:00",9379,12.97688,304,0,0.256,1.51,11.59,0.12492,0.95761,0.1659,0.94113,87.682,75.233
"2024-10-30 18:00:00",9380,12.98528,304,0,0.173,0.52,8.5,0.0433,0.70199,0.07358,0.69606,87.668,76.471
"2024-10-30 18:30:00",9381,12.97269,304,0,0.109,-0.06,5.93,-0.00733,0.48923,0.00708,0.49161,83.645,77.455
"2024-10-30 19:00:00",9382,12.9794,304,0,0.069,-0.54,4.41,-0.04659,0.36506,-0.02779,0.37032,86.811,79.371
"2024-10-30 19:30:00",9383,12.97605,304,0,0.044,-0.79,3.45,-0.06755,0.2853,-0.05523,0.29122,85.498,75.808
"2024-10-30 20:00:00",9384,12.95842,304,0,0.024,-1.03,2.69,-0.08701,0.22222,-0.07363,0.23213,89.309,78.118
"2024-10-30 20:30:00",9385,12.95926,304,0,0.013,-1.15,2.24,-0.09665,0.18526,-0.08991,0.19545,87.75,77.559
"2024-10-30 21:00:00",9386,12.96346,304,0,0.004,-1.24,1.89,-0.10359,0.1566,-0.09631,0.16337,85.998,78.307
"2024-10-30 21:30:00",9387,12.95758,304,0,-0.004,-1.35,1.55,-0.11299,0.12868,-0.10849,0.13508,89.238,79.548
"2024-10-30 22:00:00",9388,12.9475,304,0,-0.007999999,-1.33,1.36,-0.11213,0.11256,-0.10157,0.11918,86.799,76.11
"2024-10-30 22:30:00",9389,12.95758,304,0,-0.015,-1.52,1.22,-0.12755,0.10105,-0.12015,0.10406,84.736,77.048
"2024-10-30 23:00:00",9390,12.95338,304,0,-0.012,-1.39,1.22,-0.11659,0.10024,-0.11235,0.10324,86.549,77.611
"2024-10-30 23:30:00",9391,12.95002,304,0,-0.018,-1.52,1.08,-0.12715,0.0891,-0.11937,0.09222,87.289,75.85
"2024-10-31 00:00:00",9392,12.94666,304,0,-0.015,-1.35,0.97,-0.11299,0.08034,-0.10537,0.08769,86.157,79.219
"2024-10-31 00:30:00",9393,12.94666,304,0,-0.021,-1.46,0.83,-0.12217,0.06813,-0.11777,0.07552,87.652,76.965
"2024-10-31 01:00:00",9394,12.94583,304,0,-0.026,-1.49,0.57,-0.12493,0.04797,-0.11969,0.05942,87.705,79.268
"2024-10-31 01:30:00",9395,12.94163,304,0,-0.026,-1.47,0.57,-0.12369,0.04762,-0.12235,0.0549,86.837,78.901
"2024-10-31 02:00:00",9396,12.90301,304,0,-0.024,-1.4,0.56,-0.11777,0.04684,-0.11667,0.05404,85.783,80.595
"2024-10-31 02:30:00",9397,12.94415,304,0,-0.027,-1.46,0.52,-0.12217,0.04322,-0.11435,0.0505,87.853,78.665
"2024-10-31 03:00:00",9398,12.94499,304,0,-0.028,-1.59,0.62,-0.13263,0.05124,-0.12745,0.05845,87.543,79.105
"2024-10-31 03:30:00",9399,12.93239,304,0,-0.021,-1.35,0.67,-0.11333,0.05552,-0.11311,0.0668,83.231,78.292
