"TOA5","CR300Series_310","CR300","5804","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-19 13:00:00",7291,13.01,310,1,-0.003,0.17,-0.44,0.008,-0.025,0.014,-0.042,51.59,41.37
"2024-11-19 13:30:00",7292,13,310,1,-0.011,-0.09,-0.49,-0.006,-0.028,-0.006,-0.042,53.48,41.34
"2024-11-19 14:00:00",7293,13,310,1,-0.016,-0.32,-0.47,-0.018,-0.027,-0.016,-0.042,54.25,42.27
"2024-11-19 14:30:00",7294,13,310,1,-0.009,-0.01,-0.49,-0.002,-0.027,-0.003,-0.042,51.78,41.04
"2024-11-19 15:00:00",7295,12.99,310,1,-0.02,-0.44,-0.49,-0.025,-0.027,-0.025,-0.043,54.1,41.79
"2024-11-19 15:30:00",7296,12.99,310,1,-0.014,-0.21,-0.52,-0.012,-0.029,-0.012,-0.04,53.8,41.49
"2024-11-19 16:00:00",7297,12.99,310,1,-0.017,-0.32,-0.49,-0.019,-0.027,-0.018,-0.043,53.71,41.13
"2024-11-19 16:30:00",7298,12.98,310,1,-0.015,-0.24,-0.49,-0.014,-0.027,-0.013,-0.04,53.7,41.7
"2024-11-19 17:00:00",7299,12.98,310,1,-0.013,-0.21,-0.46,-0.012,-0.025,-0.013,-0.04,54.06,42.16
"2024-11-19 17:30:00",7300,12.98,310,1,-0.015,-0.26,-0.47,-0.015,-0.027,-0.013,-0.04,54.12,41.97
"2024-11-19 18:00:00",7301,12.97,310,1,-0.011,-0.12,-0.46,-0.008,-0.025,-0.007,-0.04,53.5,41.76
"2024-11-19 18:30:00",7302,12.97,310,1,-0.015,-0.26,-0.47,-0.015,-0.027,-0.018,-0.043,53.77,41.61
"2024-11-19 19:00:00",7303,12.97,310,1,-0.014,-0.24,-0.47,-0.014,-0.027,-0.016,-0.042,53.87,41.3
"2024-11-19 19:30:00",7304,12.97,310,1,-0.016,-0.29,-0.47,-0.017,-0.027,-0.018,-0.04,54.01,42.42
"2024-11-19 20:00:00",7305,12.96,310,1,-0.018,-0.37,-0.47,-0.021,-0.027,-0.02,-0.043,54.8,42.22
"2024-11-19 20:30:00",7306,12.96,310,1,-0.016,-0.29,-0.51,-0.017,-0.028,-0.016,-0.04,54.12,42.79
"2024-11-19 21:00:00",7307,12.96,310,1,-0.014,-0.24,-0.47,-0.014,-0.027,-0.015,-0.04,53.82,41.82
"2024-11-19 21:30:00",7308,12.96,310,1,-0.015,-0.26,-0.47,-0.015,-0.027,-0.016,-0.042,53.49,41.91
"2024-11-19 22:00:00",7309,12.96,310,1,-0.015,-0.26,-0.47,-0.015,-0.027,-0.016,-0.04,54.49,42.07
