"TOA5","CR300Series_401","CR300","27022","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-02-18 16:00:00",13344,13.23,401,1,-0.139,-0.47,-0.52,-0.042,-0.047,-0.058,-0.12,51.4,39.41
"2025-02-18 16:30:00",13345,12.99,401,1,-0.152,-0.49,-0.6,-0.044,-0.054,-0.061,-0.125,50.42,39.09
"2025-02-18 17:00:00",13346,12.84,401,1,-0.165,-0.61,-0.56,-0.055,-0.05,-0.069,-0.122,51.39,40.89
"2025-02-18 17:30:00",13347,12.77,401,1,-0.184,-0.65,-0.66,-0.058,-0.059,-0.07,-0.132,49.65,40.37
"2025-02-18 18:00:00",13348,12.79,401,1,-0.181,-0.63,-0.66,-0.056,-0.059,-0.073,-0.132,49.51,40.39
"2025-02-18 18:30:00",13349,12.83,401,1,-0.197,-0.69,-0.71,-0.062,-0.064,-0.078,-0.132,49.93,39.98
"2025-02-18 19:00:00",13350,12.85,401,1,-0.192,-0.66,-0.71,-0.06,-0.064,-0.078,-0.134,50.6,39.42
"2025-02-18 19:30:00",13351,12.86,401,1,-0.208,-0.71,-0.77,-0.064,-0.069,-0.08,-0.136,51.02,39.84
"2025-02-18 20:00:00",13352,12.86,401,1,-0.238,-0.83,-0.86,-0.074,-0.077,-0.085,-0.138,49.69,39.33
"2025-02-18 20:30:00",13353,12.86,401,1,-0.258,-0.86,-0.98,-0.077,-0.088,-0.09,-0.142,50.51,38.77
"2025-02-18 21:00:00",13354,12.86,401,1,-0.228,-0.71,-0.92,-0.064,-0.082,-0.078,-0.142,50.86,40.09
"2025-02-18 21:30:00",13355,12.86,401,1,-0.244,-0.79,-0.95,-0.071,-0.085,-0.084,-0.144,50.7,39.53
"2025-02-18 22:00:00",13356,12.87,401,1,-0.261,-0.88,-0.98,-0.079,-0.088,-0.089,-0.147,50.74,39.82
"2025-02-18 22:30:00",13357,12.86,401,1,-0.259,-0.84,-1.01,-0.076,-0.09,-0.086,-0.144,49.76,40.38
"2025-02-18 23:00:00",13358,12.87,401,1,-0.252,-0.82,-0.98,-0.073,-0.087,-0.084,-0.142,51.73,38.91
"2025-02-18 23:30:00",13359,12.87,401,1,-0.254,-0.83,-0.98,-0.074,-0.087,-0.092,-0.144,50.4,40.04
"2025-02-19 00:00:00",13360,12.87,401,1,-0.265,-0.85,-1.04,-0.076,-0.093,-0.087,-0.149,49.06,39.52
"2025-02-19 00:30:00",13361,12.87,401,1,-0.296,-0.92,-1.19,-0.083,-0.106,-0.095,-0.153,52.36,39.14
