"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-03-10 13:30:00",15658,13.00375,302,0,0.034,0.8,0.72,0.04233,0.0385,0.07315,0.08432,50.133,40.466
"2025-03-10 14:00:00",15659,12.89714,302,0,0.051,1.38,0.85,0.07348,0.0447,0.09441,0.08508,52.32,40.991
"2025-03-10 14:30:00",15660,12.86944,302,0,0.049,1.33,0.82,0.0711,0.04368,0.0894,0.0881,51.765,40.704
"2025-03-10 15:00:00",15661,12.8921,302,0,0.063,1.85,0.9,0.09782,0.04738,0.10892,0.08761,53.426,41.012
"2025-03-10 15:30:00",15662,12.9198,302,0,0.093,2.87,1.13,0.15254,0.06036,0.15432,0.07875,73.577,46.311
"2025-03-10 16:00:00",15663,12.93491,302,0,0.047,1.3,0.77,0.0694,0.04047,0.09395,0.08766,50.993,40.657
"2025-03-10 16:30:00",15664,12.93323,302,0,0.059,1.57,1.02,0.08339,0.05404,0.10518,0.0937,52.291,41.123
"2025-03-10 17:00:00",15665,12.94079,302,0,0.084,2.63,0.93,0.13999,0.04934,0.14658,0.08547,51.518,41.699
"2025-03-10 17:30:00",15666,12.94918,302,0,0.054,1.48,0.88,0.07834,0.04698,0.09336,0.09136,53.424,40.595
"2025-03-10 18:00:00",15667,12.95002,302,0,0.05,1.43,0.77,0.07603,0.04052,0.09678,0.0873,51.203,39.878
"2025-03-10 18:30:00",15668,12.94918,302,0,0.054,1.52,0.85,0.08095,0.04503,0.0996,0.09101,51.269,40.204
"2025-03-10 19:00:00",15669,12.94331,302,0,0.055,1.57,0.85,0.0834,0.04503,0.10224,0.08924,51.717,39.977
"2025-03-10 19:30:00",15670,12.94079,302,0,0.053,1.47,0.83,0.0778,0.04452,0.09838,0.0907,51.385,40.636
"2025-03-10 20:00:00",15671,12.93827,302,0,0.059,1.67,0.88,0.0881,0.04678,0.10661,0.08924,52.096,40.105
"2025-03-10 20:30:00",15672,12.92904,302,0,0.056,1.6,0.83,0.08462,0.04452,0.10166,0.0873,51.866,40.959
"2025-03-10 21:00:00",15673,12.92652,302,0,0.054,1.52,0.83,0.08052,0.04386,0.09759,0.08636,51.699,40.535
"2025-03-10 21:30:00",15674,12.9198,302,0,0.054,1.5,0.85,0.07948,0.04526,0.09686,0.08542,52.432,40.955
"2025-03-10 22:00:00",15675,12.92232,302,0,0.055,1.57,0.82,0.08303,0.0432,0.10014,0.08698,52.879,40.73
"2025-03-10 22:30:00",15676,12.91645,302,0,0.053,1.5,0.82,0.07964,0.04299,0.09702,0.08686,51.703,40.646
"2025-03-10 23:00:00",15677,12.91477,302,0,0.053,1.48,0.82,0.0786,0.04306,0.09746,0.08686,53.163,40.752
"2025-03-10 23:30:00",15678,12.91812,302,0,0.053,1.48,0.85,0.07915,0.04532,0.09502,0.0873,52.648,41.065
"2025-03-11 00:00:00",15679,12.91561,302,0,0.053,1.5,0.82,0.07964,0.04356,0.09846,0.08761,52.057,40.74
"2025-03-11 00:30:00",15680,12.90889,302,0,0.049,1.33,0.82,0.07068,0.04306,0.08998,0.08698,52.181,40.289
"2025-03-11 01:00:00",15681,12.91141,302,0,0.054,1.52,0.85,0.08076,0.04554,0.09816,0.08936,52.287,40.132
"2025-03-11 01:30:00",15682,12.91225,302,0,0.053,1.48,0.85,0.07902,0.04554,0.09659,0.08761,52.607,40.294
"2025-03-11 02:00:00",15683,12.90805,302,0,0.054,1.5,0.85,0.07925,0.04554,0.09672,0.08761,52.022,41.115
"2025-03-11 02:30:00",15684,12.91309,302,0,0.052,1.47,0.82,0.0781,0.04368,0.09428,0.08618,53.008,40.437
"2025-03-11 03:00:00",15685,12.88706,302,0,0.054,1.52,0.87,0.0804,0.04592,0.09955,0.0881,52.011,40.43
"2025-03-11 03:30:00",15686,12.90301,302,0,0.055,1.57,0.82,0.08282,0.04368,0.10022,0.08618,52.091,40.764
