"TOA5","CR300Series_402","CR300","27021","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-03-10 17:00:00",14895,12.33,402,1,0.272,5.16,7.59,0.426,0.627,0.421,0.621,78.18,64.25
"2025-03-10 17:30:00",14896,12.32,402,1,0.248,4.68,6.92,0.386,0.572,0.383,0.577,74.05,61.87
"2025-03-10 18:00:00",14897,12.31,402,1,0.214,3.94,6.12,0.325,0.506,0.322,0.508,70.61,60.68
"2025-03-10 18:30:00",14898,12.31,402,1,0.189,3.36,5.58,0.278,0.461,0.276,0.468,69.4,58.97
"2025-03-10 19:00:00",14899,12.3,402,1,0.182,3.24,5.35,0.267,0.442,0.264,0.464,69.94,58.52
"2025-03-10 19:30:00",14900,12.29,402,1,0.172,3.03,5.11,0.25,0.423,0.243,0.446,66.68,57.51
"2025-03-10 20:00:00",14901,12.28,402,1,0.168,2.96,4.99,0.245,0.412,0.237,0.429,68.04,55.37
"2025-03-10 20:30:00",14902,12.26,402,1,0.159,2.59,4.99,0.215,0.412,0.203,0.429,69.08,56.17
"2025-03-10 21:00:00",14903,12.25,402,1,0.161,2.79,4.88,0.231,0.403,0.229,0.427,69.45,57.29
"2025-03-10 21:30:00",14904,12.22,402,1,0.159,2.7,4.83,0.223,0.399,0.221,0.416,70.62,57.21
"2025-03-10 22:00:00",14905,12.22,402,1,0.158,2.76,4.72,0.229,0.39,0.221,0.414,69.61,56.71
"2025-03-10 22:30:00",14906,12.21,402,1,0.153,2.58,4.72,0.213,0.389,0.201,0.419,69.79,56.14
"2025-03-10 23:00:00",14907,12.18,402,1,0.155,2.66,4.69,0.22,0.387,0.213,0.405,70.34,55.45
"2025-03-10 23:30:00",14908,12.19,402,1,0.148,2.42,4.64,0.201,0.383,0.199,0.401,69.78,56.38
"2025-03-11 00:00:00",14909,12.15,402,1,0.148,2.54,4.5,0.209,0.371,0.197,0.397,70.27,56.12
"2025-03-11 00:30:00",14910,12.16,402,1,0.148,2.47,4.59,0.204,0.38,0.196,0.399,67.65,56.5
"2025-03-11 01:00:00",14911,12.15,402,1,0.145,2.4,4.54,0.198,0.376,0.187,0.394,68.78,56.12
"2025-03-11 01:30:00",14912,12.15,402,1,0.15,2.58,4.54,0.213,0.376,0.206,0.394,70.33,55.19
"2025-03-11 02:00:00",14913,12.13,402,1,0.148,2.51,4.54,0.207,0.376,0.19,0.394,72.38,56.24
"2025-03-11 02:30:00",14914,12.13,402,1,0.157,2.76,4.65,0.229,0.385,0.221,0.399,69.4,57.75
"2025-03-11 03:00:00",14915,12.12,402,1,0.149,2.52,4.57,0.208,0.378,0.201,0.399,72.5,56.86
