"TOA5","CR300Series_402","CR300","27021","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-03-25 15:00:00",14950,13,402,1,0.6,9.61,19.05,0.793,1.103,0.804,1.094,79.43,70.49
"2025-03-25 15:30:00",14951,12.92,402,1,0.645,10.03,20.87,0.829,1.094,0.84,1.085,77.82,70.13
"2025-03-25 16:00:00",14952,12.92,402,1,0.638,9.97,20.55,0.824,1.103,0.825,1.087,78.11,69.17
"2025-03-25 16:30:00",14953,12.96,402,1,0.656,9.58,22.08,0.791,1.065,0.798,1.056,76.72,68.53
"2025-03-25 17:00:00",14954,12.96,402,1,0.418,8.2,11.29,0.678,0.933,0.685,0.935,79.72,67.03
"2025-03-25 17:30:00",14955,12.97,402,1,0.364,7.03,9.95,0.581,0.822,0.588,0.815,79.71,67.77
"2025-03-25 18:00:00",14956,12.96,402,1,0.303,5.72,8.46,0.472,0.699,0.469,0.696,76.01,65.83
"2025-03-25 18:30:00",14957,12.96,402,1,0.234,4.29,6.74,0.354,0.556,0.354,0.56,77.51,63.07
"2025-03-25 19:00:00",14958,12.96,402,1,0.199,3.54,5.86,0.293,0.484,0.287,0.487,74.37,59.94
"2025-03-25 19:30:00",14959,12.95,402,1,0.177,3.1,5.3,0.256,0.437,0.248,0.449,75.91,60.23
"2025-03-25 20:00:00",14960,12.95,402,1,0.163,2.73,5.02,0.226,0.414,0.22,0.425,70.78,59.11
"2025-03-25 20:30:00",14961,12.94,402,1,0.152,2.51,4.72,0.208,0.39,0.193,0.392,76.4,59.48
"2025-03-25 21:00:00",14962,12.93,402,1,0.148,2.45,4.61,0.202,0.381,0.192,0.388,72,58.83
"2025-03-25 21:30:00",14963,12.93,402,1,0.144,2.34,4.52,0.193,0.374,0.183,0.381,74.76,59.09
"2025-03-25 22:00:00",14964,12.92,402,1,0.142,2.3,4.48,0.189,0.37,0.179,0.381,73.37,58.45
"2025-03-25 22:30:00",14965,12.92,402,1,0.138,2.19,4.44,0.181,0.367,0.171,0.369,74.49,60.57
"2025-03-25 23:00:00",14966,12.91,402,1,0.139,2.31,4.33,0.191,0.358,0.174,0.365,73.68,58.52
"2025-03-25 23:30:00",14967,12.91,402,1,0.133,2.06,4.33,0.17,0.358,0.156,0.365,74.19,59.77
"2025-03-26 00:00:00",14968,12.9,402,1,0.135,2.12,4.37,0.175,0.361,0.161,0.369,73.55,58.38
"2025-03-26 00:30:00",14969,12.9,402,1,0.138,2.23,4.4,0.184,0.364,0.175,0.375,71.78,58.37
"2025-03-26 01:00:00",14970,12.9,402,1,0.135,2.14,4.34,0.177,0.358,0.171,0.37,72.21,57.55
