"TOA5","CR300Series_411","CR300","4370","CR300-RF407.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-03-25 15:00:00",11080,12.94,411,0,0.453,3.66,1.09,0.324,0.096,0.307,0.08,64.79,63.44
"2025-03-25 15:30:00",11081,12.96,411,0,0.59,4.92,1.26,0.435,0.112,-99,-99,-99,-99
"2025-03-25 16:00:00",11082,12.99,411,0,0.451,4.12,0.56,0.364,0.05,0.213,0.028,46.95,57.39
"2025-03-25 16:30:00",11083,13,411,0,0.598,5.08,1.17,0.45,0.104,0.335,0.054,55.44,52.16
"2025-03-25 17:00:00",11084,13.01,411,0,0.615,5.26,1.16,0.466,0.103,0.316,0.046,52.4,51.05
"2025-03-25 17:30:00",11085,13.01,411,0,0.507,4.29,1.01,0.379,0.089,0.277,0.045,54.26,52.07
"2025-03-25 18:00:00",11086,13.01,411,0,0.383,3.26,0.74,0.289,0.066,0.216,0.029,54.37,52.86
"2025-03-25 18:30:00",11087,13.01,411,0,0.248,2.2,0.38,0.195,0.034,0.143,0.005,53.54,52.6
"2025-03-25 19:00:00",11088,13.01,411,0,0.173,1.58,0.21,0.14,0.018,0.097,0,52.34,51.66
"2025-03-25 19:30:00",11089,13,411,0,0.132,1.24,0.12,0.11,0.01,0.077,-0.007,52.2,51.68
"2025-03-25 20:00:00",11090,12.99,411,0,0.061,0.67,-0.05,0.059,-0.005,0.039,-0.017,51.12,51.85
"2025-03-25 20:30:00",11091,12.99,411,0,0.065,0.74,-0.08,0.066,-0.008,0.045,-0.019,54.27,51.82
"2025-03-25 21:00:00",11092,12.99,411,0,0.054,0.6,-0.05,0.053,-0.005,0.031,-0.017,51.77,51.51
"2025-03-25 21:30:00",11093,12.98,411,0,0.038,0.46,-0.08,0.041,-0.008,0.023,-0.017,52.87,51.67
"2025-03-25 22:00:00",11094,12.98,411,0,0.021,0.36,-0.16,0.032,-0.015,0.018,-0.026,53.36,51.74
"2025-03-25 22:30:00",11095,12.98,411,0,0.018,0.33,-0.16,0.029,-0.015,0.015,-0.021,53.26,52.32
"2025-03-25 23:00:00",11096,12.97,411,0,-0.001,0.18,-0.22,0.016,-0.02,0.003,-0.028,53.07,52.97
"2025-03-25 23:30:00",11097,12.97,411,0,-0.006,0.12,-0.22,0.011,-0.02,0.003,-0.028,53.08,52.56
"2025-03-26 00:00:00",11098,12.97,411,0,-0.007,0.09,-0.19,0.008,-0.018,-0.003,-0.026,53.52,52.42
"2025-03-26 00:30:00",11099,12.96,411,0,0.007,0.24,-0.19,0.022,-0.018,0.005,-0.026,52.1,51.58
