"TOA5","CR300Series_401","CR300","27022","CR300-RF407.Std.10.04","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-04-17 16:00:00",16125,12.96,401,0,0.883,1.67,2.51,0.148,0.222,0.087,-0.06,64.42,46.04
"2025-04-17 16:30:00",16126,12.95,401,0,0.586,0.41,2.4,0.036,0.212,-0.022,-0.059,56.44,46.94
"2025-04-17 17:00:00",16127,12.95,401,0,0.694,0.82,2.49,0.073,0.22,0.031,-0.058,60.48,45.99
"2025-04-17 17:30:00",16128,12.94,401,0,0.699,0.9,2.43,0.079,0.215,0.025,-0.064,58.32,46.32
"2025-04-17 18:00:00",16129,12.94,401,0,0.679,1.01,2.22,0.089,0.196,0.024,-0.079,57.11,45.64
"2025-04-17 18:30:00",16130,12.94,401,0,0.561,0.75,1.92,0.066,0.17,0.012,-0.096,58.29,45.31
"2025-04-17 19:00:00",16131,12.94,401,0,0.381,0.39,1.43,0.035,0.126,-0.014,-0.115,58.14,44.99
"2025-04-17 19:30:00",16132,12.93,401,0,0.117,-0.08,0.65,-0.008,0.057,-0.05,-0.155,56.26,43.69
"2025-04-17 20:00:00",16133,12.92,401,0,-0.059,-0.39,0.12,-0.035,0.01,-0.074,-0.175,55.95,42.54
"2025-04-17 20:30:00",16134,12.91,401,0,-0.173,-0.58,-0.23,-0.052,-0.021,-0.085,-0.19,56.31,42.07
"2025-04-17 21:00:00",16135,12.91,401,0,-0.232,-0.69,-0.4,-0.062,-0.037,-0.095,-0.199,56.57,41.76
"2025-04-17 21:30:00",16136,12.9,401,0,-0.268,-0.77,-0.49,-0.069,-0.044,-0.099,-0.199,56.31,42.07
"2025-04-17 22:00:00",16137,12.9,401,0,-0.297,-0.82,-0.58,-0.074,-0.052,-0.101,-0.202,57.76,41.6
"2025-04-17 22:30:00",16138,12.89,401,0,-0.304,-0.82,-0.61,-0.074,-0.055,-0.101,-0.203,57.12,41.23
"2025-04-17 23:00:00",16139,12.88,401,0,-0.325,-0.87,-0.66,-0.078,-0.059,-0.104,-0.203,56.88,42.23
"2025-04-17 23:30:00",16140,12.88,401,0,-0.361,-0.92,-0.78,-0.082,-0.07,-0.109,-0.207,56.32,42.66
"2025-04-18 00:00:00",16141,12.88,401,0,-0.371,-0.92,-0.83,-0.082,-0.075,-0.107,-0.211,58.28,42.23
"2025-04-18 00:30:00",16142,12.88,401,0,-0.388,-0.97,-0.86,-0.087,-0.077,-0.109,-0.211,56.78,41.97
"2025-04-18 01:00:00",16143,12.87,401,0,-0.388,-0.97,-0.86,-0.087,-0.077,-0.109,-0.213,56.88,41.81
