"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-04-15 10:30:00",17380,13.01802,304,0,-0.03,-0.48,-0.35,-0.04339,-0.03149,-0.05877,-0.10745,55.388,40.413
"2025-04-15 11:00:00",17381,12.98024,304,0,-0.024,-0.33,-0.37,-0.03003,-0.03405,-0.04805,-0.10899,55.522,39.718
"2025-04-15 11:30:00",17382,12.97772,304,0,-0.022,-0.32,-0.31,-0.02957,-0.02831,-0.04567,-0.10719,55.145,39.352
"2025-04-15 12:00:00",17383,12.98024,304,0,-0.024,-0.37,-0.31,-0.03331,-0.02817,-0.04915,-0.10867,55.526,40.438
"2025-04-15 12:30:00",17384,12.9836,304,0,-0.026,-0.42,-0.31,-0.03801,-0.02839,-0.05373,-0.10733,54.59,39.608
"2025-04-15 13:00:00",17385,12.98612,304,0,-0.029,-0.46,-0.33,-0.04159,-0.03009,-0.05717,-0.10719,55.87,39.555
"2025-04-15 13:30:00",17386,12.97521,304,0,-0.036,-0.59,-0.38,-0.05343,-0.03437,-0.06849,-0.11081,54.852,39.05
"2025-04-15 14:00:00",17387,12.97521,304,0,-0.029,-0.41,-0.41,-0.03721,-0.03697,-0.05519,-0.11499,53.677,39.667
"2025-04-15 14:30:00",17388,12.96597,304,0,-0.033,-0.53,-0.39,-0.04777,-0.03507,-0.06313,-0.11349,53.542,39.937
"2025-04-15 15:00:00",17389,12.96429,304,0,-0.032,-0.5,-0.38,-0.04523,-0.03479,-0.06267,-0.11315,53.577,39.308
"2025-04-15 15:30:00",17390,12.96261,304,0,-0.031,-0.47,-0.38,-0.04265,-0.03461,-0.06019,-0.11283,54.445,38.953
"2025-04-15 16:00:00",17391,12.96597,304,0,-0.026,-0.41,-0.31,-0.03691,-0.02831,-0.05067,-0.10881,56.467,39.751
"2025-04-15 16:30:00",17392,12.96094,304,0,-0.013,-0.16,-0.24,-0.01503,-0.02233,-0.03107,-0.10195,58.527,40.58
"2025-04-15 17:00:00",17393,12.93156,304,0,-0.023,-0.3,-0.35,-0.02787,-0.03199,-0.04601,-0.10867,55.982,40.078
"2025-04-15 17:30:00",17394,12.96429,304,0,-0.026,-0.35,-0.38,-0.03229,-0.03437,-0.05021,-0.10949,55.134,39.342
"2025-04-15 18:00:00",17395,12.95842,304,0,-0.037,-0.64,-0.37,-0.05743,-0.03405,-0.07065,-0.11045,54.734,39.247
"2025-04-15 18:30:00",17396,12.96849,304,0,-0.034,-0.5,-0.46,-0.04485,-0.04127,-0.06635,-0.11707,52.379,39.036
"2025-04-15 19:00:00",17397,12.96849,304,0,-0.033,-0.51,-0.39,-0.04635,-0.03533,-0.06389,-0.11555,53.193,39.427
"2025-04-15 19:30:00",17398,12.96094,304,0,-0.033,-0.51,-0.41,-0.04569,-0.03727,-0.06113,-0.11555,54.466,38.659
"2025-04-15 20:00:00",17399,12.95506,304,0,-0.033,-0.48,-0.43,-0.04311,-0.03885,-0.05863,-0.11499,54.302,38.908
"2025-04-15 20:30:00",17400,12.9198,304,0,-0.033,-0.48,-0.43,-0.04327,-0.03893,-0.05685,-0.11349,54.215,39.532
"2025-04-15 21:00:00",17401,12.94834,304,0,-0.03,-0.43,-0.41,-0.03869,-0.03683,-0.05625,-0.11169,53.596,38.914
"2025-04-15 21:30:00",17402,12.93995,304,0,-0.03,-0.43,-0.41,-0.03861,-0.03679,-0.05625,-0.11315,54.614,39.369
"2025-04-15 22:00:00",17403,12.90973,304,0,-0.03,-0.45,-0.38,-0.04057,-0.03487,-0.05625,-0.11333,53.634,38.962
"2025-04-15 22:30:00",17404,12.93659,304,0,-0.029,-0.43,-0.38,-0.03861,-0.03479,-0.05619,-0.11315,53.398,39.634
"2025-04-15 23:00:00",17405,12.93072,304,0,-0.03,-0.45,-0.4,-0.04085,-0.03667,-0.05651,-0.11315,53.646,40.04
