"TOA5","CR300Series_402","CR300","27021","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-04-23 12:00:00",16336,12.7,402,0,0.735,2.87,6.15,0.254,0.545,0.22,0.375,62.96,54.92
"2025-04-23 12:30:00",16337,12.7,402,0,0.759,2.99,6.33,0.265,0.561,0.219,0.379,61.12,54.72
"2025-04-23 13:00:00",16338,12.7,402,0,0.731,2.83,6.15,0.25,0.544,0.215,0.361,62.6,53.49
"2025-04-23 13:30:00",16339,12.7,402,0,0.749,2.91,6.29,0.258,0.556,0.216,0.377,62.1,53.25
"2025-04-23 14:00:00",16340,12.71,402,0,0.715,2.84,5.94,0.251,0.526,0.209,0.362,60.31,54.07
"2025-04-23 14:30:00",16341,12.7,402,0,0.705,2.8,5.85,0.248,0.518,0.206,0.35,60.16,52.54
"2025-04-23 15:00:00",16342,12.7,402,0,0.66,2.48,5.64,0.219,0.499,0.184,0.345,61.27,55.03
"2025-04-23 15:30:00",16343,12.71,402,0,0.593,2.18,5.12,0.193,0.454,0.182,0.321,67.25,55.95
"2025-04-23 16:00:00",16344,12.71,402,0,0.627,2.78,4.88,0.246,0.432,0.214,0.297,68.43,53.44
"2025-04-23 16:30:00",16345,12.71,402,0,0.507,1.69,4.57,0.149,0.404,0.118,0.28,60.32,53.52
"2025-04-23 17:00:00",16346,12.71,402,0,0.551,2.21,4.55,0.196,0.403,0.138,0.26,56.15,51.4
"2025-04-23 17:30:00",16347,12.7,402,0,0.541,2.25,4.38,0.2,0.388,0.177,0.279,67.18,54.79
"2025-04-23 18:00:00",16348,12.71,402,0,0.411,1.37,3.71,0.122,0.328,0.098,0.231,59.23,52.43
"2025-04-23 18:30:00",16349,12.7,402,0,0.407,1.53,3.48,0.135,0.308,0.096,0.191,54.69,48.45
"2025-04-23 19:00:00",16350,12.71,402,0,0.351,1.26,3.06,0.112,0.271,0.074,0.164,54.65,47.02
"2025-04-23 19:30:00",16351,12.7,402,0,0.25,0.78,2.32,0.069,0.206,0.025,0.098,50.82,43.74
"2025-04-23 20:00:00",16352,12.7,402,0,0.134,0.22,1.47,0.019,0.13,-0.003,0.044,52.08,42.54
"2025-04-23 20:30:00",16353,12.7,402,0,0.06,-0.06,0.84,-0.006,0.074,-0.02,0.015,53.02,42.66
"2025-04-23 21:00:00",16354,12.69,402,0,0.024,-0.16,0.49,-0.015,0.043,-0.025,-0.003,52.07,43.2
"2025-04-23 21:30:00",16355,12.68,402,0,0.002,-0.29,0.36,-0.026,0.032,-0.033,-0.006,53.34,42.98
