"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-02 13:30:00",17195,13.02222,305,0,0.346,6.47,9.73,0.34303,0.51647,0.2771,0.3453,57.495,52.834
"2025-05-02 14:00:00",17196,13.01046,305,0,0.346,6.48,9.73,0.34473,0.51652,0.27134,0.35348,54.699,50.295
"2025-05-02 14:30:00",17197,13.01046,305,0,0.351,6.5,9.95,0.34548,0.52873,0.27134,0.33968,57.515,50.622
"2025-05-02 15:00:00",17198,13.02557,305,0,0.345,6.45,9.73,0.34272,0.51726,0.26504,0.33685,54.424,50.329
"2025-05-02 15:30:00",17199,13.01886,305,0,0.34,6.38,9.55,0.33922,0.50728,0.26238,0.34215,55.29,51.196
"2025-05-02 16:00:00",17200,13.03397,305,0,0.339,6.33,9.53,0.33604,0.50654,0.25943,0.3454,55.718,50.376
"2025-05-02 16:30:00",17201,13.03229,305,0,0.316,5.88,8.95,0.31234,0.47568,0.2385,0.31279,54.061,51.314
"2025-05-02 17:00:00",17202,13.02473,305,0,0.289,5.28,8.31,0.28016,0.4418,0.21621,0.28558,55.355,51.521
"2025-05-02 17:30:00",17203,13.03732,305,0,0.277,5.12,7.86,0.27178,0.41807,0.20471,0.27072,53.841,50.266
"2025-05-02 18:00:00",17204,13.03397,305,0,0.254,4.77,7.12,0.25282,0.37786,0.18891,0.24076,53.576,50
"2025-05-02 18:30:00",17205,13.02222,305,0,0.225,4.18,6.35,0.22205,0.33743,0.16398,0.20984,54.219,49.294
"2025-05-02 19:00:00",17206,13.0155,305,0,0.18,3.25,5.22,0.17282,0.27704,0.12672,0.16642,53.292,48.626
"2025-05-02 19:30:00",17207,13.02222,305,0,0.134,2.42,3.88,0.12824,0.20666,0.08998,0.11749,52.414,47.746
"2025-05-02 20:00:00",17208,13.01214,305,0,0.1,1.77,2.93,0.0934,0.15588,0.06448,0.08022,51.828,47.421
"2025-05-02 20:30:00",17209,13.01298,305,0,0.075,1.23,2.33,0.06576,0.12411,0.04354,0.06256,52.193,46.955
"2025-05-02 21:00:00",17210,13.01382,305,0,0.061,0.97,1.97,0.051,0.10415,0.02978,0.04496,51.103,46.851
"2025-05-02 21:30:00",17211,12.99535,305,0,0.049,0.73,1.63,0.03852,0.08698,0.01822,0.03498,52.202,45.878
"2025-05-02 22:00:00",17212,13.00039,305,0,0.045,0.63,1.57,0.03354,0.08357,0.01584,0.03238,52.495,47.003
"2025-05-02 22:30:00",17213,12.98864,305,0,0.037,0.45,1.37,0.02399,0.07226,0.01134,0.0298,52.144,47.062
"2025-05-02 23:00:00",17214,12.99787,305,0,0.037,0.45,1.37,0.02399,0.07246,0.00679,0.02738,51.059,46.807
"2025-05-02 23:30:00",17215,12.99703,305,0,0.037,0.45,1.37,0.02399,0.07246,0.00908,0.02738,51.483,46.66
"2025-05-03 00:00:00",17216,12.99451,305,0,0.038,0.45,1.42,0.02402,0.07532,0.01134,0.02492,51.65,46.306
"2025-05-03 00:30:00",17217,12.99535,305,0,0.036,0.45,1.32,0.02402,0.06952,0.0068,0.02238,53.309,45.321
"2025-05-03 01:00:00",17218,12.98528,305,0,0.037,0.5,1.32,0.02641,0.06952,0.00908,0.02738,52.932,45.517
"2025-05-03 01:30:00",17219,12.99535,305,0,0.042,0.55,1.52,0.02889,0.0807,0.01594,0.03226,50.093,49.835
"2025-05-03 02:00:00",17220,12.98948,305,0,0.051,0.68,1.78,0.0359,0.09473,0.01582,0.0299,52.357,48.521
"2025-05-03 02:30:00",17221,12.98444,305,0,0.046,0.63,1.62,0.03354,0.086,0.01584,0.03226,53.815,46.501
"2025-05-03 03:00:00",17222,12.99367,305,0,0.045,0.58,1.62,0.03136,0.08624,0.01822,0.04233,53.559,45.156
