"TOA5","CR300Series_420","CR300","1740","CR300.Std.11.00","CPU:sapflux_2sensor_CR300_30min.cr300","60975","SapFlowAll"
"TIMESTAMP","RECORD","Batt_volt","PTemp_C","S0_AlpOut","S0_AlpInn","S0_BetOut","S0_BetInn","S0_tMxTout","S0_tMxTinn","S0_TpDsOut","S0_dTDsOut","S0_TsDsOut","S0_TpUsOut","S0_dTUsOut","S0_TsUsOut","S0_TpDsInn","S0_dTDsInn","S0_TsDsInn","S0_TpUsInn","S0_dTUsInn","S0_TsUsInn","S0_tMxTUsO","S0_tMxTUsI","S1_AlpOut","S1_AlpInn","S1_BetOut","S1_BetInn","S1_tMxTout","S1_tMxTinn","S1_TpDsOut","S1_dTDsOut","S1_TsDsOut","S1_TpUsOut","S1_dTUsOut","S1_TsUsOut","S1_TpDsInn","S1_dTDsInn","S1_TsDsInn","S1_TpUsInn","S1_dTUsInn","S1_TsUsInn","S1_tMxTUsO","S1_tMxTUsI"
"TS","RN","","","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-20 17:30:00",47,10.54,23.38,0.52209,0.61436,0.5343,0.62304,82.406,81.47,19.815,0.273,20.083,19.769,0.16,19.928,19.111,0.248,19.355,19,0.133,19.132,74.044,61.127,0.25518,0.32469,0.25704,0.32296,78.164,70.988,19.263,0.225,19.485,19.416,0.174,19.588,18.538,0.221,18.758,18.593,0.16,18.752,75.793,71.362
"2025-05-20 18:00:00",48,10.55,24.03,0.4912,0.59168,0.4945,0.56684,83.157,72.736,19.743,0.223,19.962,19.716,0.136,19.85,19.348,0.208,19.554,19.249,0.118,19.363,70.551,54.389,0.2407,0.33846,0.23934,0.34137,71.231,63.055,19.332,0.202,19.533,19.444,0.159,19.602,18.841,0.204,19.043,18.887,0.145,19.031,74.6,64.928
"2025-05-20 18:30:00",49,10.55,23.45,0.58955,0.69315,0.59123,0.64906,77.92,76.235,19.787,0.233,20.016,19.768,0.129,19.895,19.456,0.222,19.676,19.366,0.116,19.476,63.817,55.643,0.25898,0.36715,0.26238,0.36288,74.598,65.178,19.371,0.208,19.577,19.486,0.16,19.645,18.981,0.207,19.186,19.025,0.144,19.167,72.477,64.554
"2025-05-20 19:00:00",50,10.54,22.99,0.45768,0.62215,0.46261,0.61538,109.92,79.784,19.989,0.297,20.264,19.975,0.187,20.149,19.58,0.235,19.811,19.496,0.127,19.62,109.797,58.199,0.14781,0.31391,0.12273,0.3122,108.456,68.822,19.601,0.277,19.863,19.748,0.245,19.974,19.126,0.22,19.345,19.176,0.161,19.336,109.828,72.692
"2025-05-20 19:30:00",51,10.53,23.76,0.51326,0.67602,0.52852,0.65558,96.066,79.905,20.374,0.285,20.648,20.354,0.168,20.518,19.951,0.235,20.183,19.855,0.122,19.973,96.689,55.072,0.25592,0.3272,0.25456,0.32541,71.809,66.38,20.08,0.218,20.297,20.219,0.169,20.387,19.563,0.216,19.778,19.615,0.156,19.77,74.681,67.753
"2025-05-20 20:00:00",52,10.55,24.35,0.65424,0.67586,0.64226,0.6509,80.798,75.119,20.718,0.23,20.945,20.698,0.121,20.816,20.244,0.232,20.474,20.148,0.121,20.265,59.457,54.526,0.20943,0.33086,0.20066,0.32252,79.61,65.94,20.426,0.22,20.643,20.561,0.18,20.737,19.913,0.214,20.126,19.965,0.155,20.118,89.222,65.316
"2025-05-20 20:30:00",53,10.55,24.32,0.41142,0.58946,0.43287,0.58699,86.015,79.09,20.884,0.259,21.136,20.865,0.168,21.032,20.435,0.241,20.673,20.34,0.134,20.472,70.919,60.5,0.20896,0.30639,0.20598,0.3047,78.173,68.75,20.635,0.231,20.863,20.769,0.188,20.954,20.182,0.217,20.398,20.232,0.16,20.391,77.049,68.125
"2025-05-20 21:00:00",54,10.56,24.59,0.42286,0.60382,0.45016,0.5795,102.305,75.412,20.996,0.24,21.228,20.989,0.153,21.141,20.718,0.216,20.932,20.633,0.121,20.75,68.986,55.322,0.23262,0.30258,0.23019,0.30574,77.606,63.94,20.796,0.214,21.008,20.907,0.17,21.075,20.459,0.205,20.662,20.504,0.151,20.654,78.478,65.562
