"TOA5","CR300Series_310","CR300","5804","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-29 17:00:00",16090,12.9,310,1,-0.02,-0.22,-0.77,-0.013,-0.043,-0.011,-0.06,51.16,41.79
"2025-05-29 17:30:00",16091,12.87,310,1,-0.027,-0.46,-0.86,-0.025,-0.047,-0.022,-0.061,50.77,42.8
"2025-05-29 18:00:00",16092,12.87,310,1,-0.023,-0.39,-0.76,-0.022,-0.042,-0.015,-0.059,51.02,42.21
"2025-05-29 18:30:00",16093,12.87,310,1,-0.018,-0.16,-0.77,-0.01,-0.043,-0.008,-0.058,52.37,42.47
"2025-05-29 19:00:00",16094,12.86,310,1,-0.019,-0.22,-0.76,-0.013,-0.042,-0.012,-0.059,50.58,42.44
"2025-05-29 19:30:00",16095,12.86,310,1,-0.022,-0.29,-0.79,-0.017,-0.043,-0.016,-0.06,51.49,42.68
"2025-05-29 20:00:00",16096,12.86,310,1,-0.022,-0.29,-0.81,-0.017,-0.044,-0.015,-0.06,52.18,42.96
"2025-05-29 20:30:00",16097,12.85,310,1,-0.019,-0.19,-0.77,-0.011,-0.043,-0.011,-0.06,51.16,42.35
"2025-05-29 21:00:00",16098,12.85,310,1,-0.023,-0.32,-0.81,-0.019,-0.044,-0.018,-0.06,51.96,43.55
"2025-05-29 21:30:00",16099,12.85,310,1,-0.021,-0.24,-0.81,-0.014,-0.044,-0.012,-0.061,52.25,42.19
"2025-05-29 22:00:00",16100,12.85,310,1,-0.019,-0.19,-0.77,-0.012,-0.043,-0.011,-0.061,52.67,42.2
"2025-05-29 22:30:00",16101,12.84,310,1,-0.019,-0.21,-0.77,-0.013,-0.042,-0.011,-0.058,51.92,42.95
"2025-05-29 23:00:00",16102,12.84,310,1,-0.022,-0.27,-0.81,-0.016,-0.044,-0.016,-0.061,51.44,42.62
"2025-05-29 23:30:00",16103,12.84,310,1,-0.02,-0.24,-0.77,-0.014,-0.042,-0.013,-0.058,51.7,42.62
"2025-05-30 00:00:00",16104,12.84,310,1,-0.02,-0.26,-0.74,-0.015,-0.041,-0.015,-0.058,52.52,42.88
"2025-05-30 00:30:00",16105,12.84,310,1,-0.025,-0.41,-0.81,-0.023,-0.044,-0.02,-0.061,51.05,43.06
"2025-05-30 01:00:00",16106,12.84,310,1,-0.018,-0.16,-0.77,-0.01,-0.042,-0.011,-0.059,52.2,42.8
"2025-05-30 01:30:00",16107,12.84,310,1,-0.019,-0.21,-0.77,-0.013,-0.042,-0.011,-0.059,52.38,43.3
"2025-05-30 02:00:00",16108,12.84,310,1,-0.02,-0.21,-0.79,-0.013,-0.044,-0.012,-0.059,51.65,43.51
