"TOA5","CR300Series_410","CR300","5798","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-30 15:30:00",16563,12.86,410,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-05-30 16:00:00",16564,12.91,410,1,2.713,5.21,6.99,0.461,0.618,0.389,0.247,55.98,43.41
"2025-05-30 16:30:00",16565,12.91,410,1,2.439,4.48,6.5,0.396,0.575,0.352,0.238,58.65,43.57
"2025-05-30 17:00:00",16566,12.91,410,1,2.345,4.41,6.14,0.39,0.544,0.33,0.22,58.22,43.98
"2025-05-30 17:30:00",16567,12.91,410,1,2.247,4.2,5.91,0.372,0.523,0.317,0.203,57.48,43.65
"2025-05-30 18:00:00",16568,12.91,410,1,2.01,3.65,5.4,0.323,0.478,0.281,0.184,59.2,43.29
"2025-05-30 18:30:00",16569,12.91,410,1,1.816,3.27,4.91,0.29,0.435,0.252,0.161,59.75,43.16
"2025-05-30 19:00:00",16570,12.91,410,1,1.539,2.8,4.13,0.248,0.366,0.214,0.129,59.39,42.37
"2025-05-30 19:30:00",16571,12.91,410,1,1.27,2.25,3.47,0.199,0.308,0.17,0.098,60,41.73
"2025-05-30 20:00:00",16572,12.9,410,1,1.021,1.75,2.85,0.155,0.252,0.131,0.074,58.89,41.46
"2025-05-30 20:30:00",16573,12.9,410,1,0.8,1.32,2.29,0.117,0.202,0.102,0.054,59.15,40.15
"2025-05-30 21:00:00",16574,12.89,410,1,0.616,0.99,1.79,0.088,0.158,0.076,0.032,57.68,40.07
"2025-05-30 21:30:00",16575,12.89,410,1,0.505,0.78,1.5,0.069,0.133,0.059,0.024,57.39,38.81
"2025-05-30 22:00:00",16576,12.89,410,1,0.379,0.57,1.14,0.051,0.101,0.044,0.008,58.52,39.25
"2025-05-30 22:30:00",16577,12.89,410,1,0.334,0.49,1.02,0.043,0.091,0.037,0.004,58.37,39.95
"2025-05-30 23:00:00",16578,12.88,410,1,0.32,0.43,1.02,0.038,0.09,0.034,0.004,56.54,38.94
"2025-05-30 23:30:00",16579,12.88,410,1,0.296,0.37,0.97,0.033,0.086,0.029,0.004,57.59,39.83
"2025-05-31 00:00:00",16580,12.88,410,1,0.343,0.46,1.09,0.041,0.096,0.035,0.006,56.55,38.68
"2025-05-31 00:30:00",16581,12.87,410,1,0.44,0.65,1.34,0.057,0.118,0.048,0.014,55.55,38.94
"2025-05-31 01:00:00",16582,12.87,410,1,0.505,0.76,1.52,0.067,0.134,0.057,0.021,56.41,40.46
"2025-05-31 01:30:00",16583,12.87,410,1,0.494,0.75,1.48,0.066,0.131,0.062,0.023,57.55,40.2
