"TOA5","CR300Series_422","CR300","27031","CR300-RF407.Std.10.04","CPU:sapflux_2sensor_CR300_30min.cr300","60975","SapFlowAll"
"TIMESTAMP","RECORD","Batt_volt","PTemp_C","S0_AlpOut","S0_AlpInn","S0_BetOut","S0_BetInn","S0_tMxTout","S0_tMxTinn","S0_TpDsOut","S0_dTDsOut","S0_TsDsOut","S0_TpUsOut","S0_dTUsOut","S0_TsUsOut","S0_TpDsInn","S0_dTDsInn","S0_TsDsInn","S0_TpUsInn","S0_dTUsInn","S0_TsUsInn","S0_tMxTUsO","S0_tMxTUsI","S1_AlpOut","S1_AlpInn","S1_BetOut","S1_BetInn","S1_tMxTout","S1_tMxTinn","S1_TpDsOut","S1_dTDsOut","S1_TsDsOut","S1_TpUsOut","S1_dTUsOut","S1_TsUsOut","S1_TpDsInn","S1_dTDsInn","S1_TsDsInn","S1_TpUsInn","S1_dTUsInn","S1_TsUsInn","S1_tMxTUsO","S1_tMxTUsI"
"TS","RN","","","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-05-30 15:00:00",526,12.95,28.46,0.51247,0.91517,0.53371,0.82603,85.063,72.446,22.781,0.428,23.195,22.75,0.251,22.998,22.139,0.45,22.586,22.081,0.197,22.26,62.814,47.213,1.10853,0.98081,1.04146,0.8522,71.142,71.206,23.183,0.51,23.689,23.098,0.18,23.265,22.179,0.476,22.651,22.099,0.203,22.276,54.063,46.789
"2025-05-30 15:30:00",527,12.93,28.38,0.5321,0.91412,0.536,0.84301,88.161,72.812,23.166,0.429,23.578,23.133,0.251,23.375,22.387,0.467,22.851,22.329,0.201,22.515,56.22,47.829,0.89405,0.96997,0.88331,0.86576,73.512,72.815,23.945,0.537,24.478,23.642,0.222,23.86,22.436,0.492,22.924,22.282,0.207,22.467,80.218,48.389
"2025-05-30 16:00:00",528,12.93,28.34,0.45364,0.70609,0.47283,0.62414,83.368,71.748,22.861,0.353,23.201,22.804,0.22,23.02,22.447,0.392,22.836,22.386,0.21,22.578,62.116,49.004,0.98008,0.86941,0.93803,0.74565,72.453,72.009,22.62,0.465,23.081,22.578,0.182,22.751,22.163,0.43,22.59,22.125,0.204,22.304,55.629,48.104
"2025-05-30 16:30:00",529,12.93,26.95,0.39493,0.59206,0.39224,0.53486,81,72.115,22.829,0.339,23.16,22.776,0.229,22.999,22.448,0.379,22.824,22.395,0.222,22.603,60.745,49.375,0.80934,0.76959,0.80521,0.68142,78.712,73.968,22.491,0.481,22.965,22.465,0.215,22.676,22.042,0.425,22.463,22.011,0.215,22.206,64.419,48.292
"2025-05-30 17:00:00",530,12.93,26.61,0.306,0.49978,0.32066,0.44766,84.05,71.434,22.825,0.339,23.155,22.766,0.246,23.009,22.498,0.363,22.859,22.442,0.232,22.661,65.779,51.426,0.77621,0.68072,0.77464,0.60573,77.38,74.406,22.419,0.447,22.858,22.379,0.206,22.581,22.005,0.405,22.406,21.97,0.221,22.173,62.833,49.491
"2025-05-30 17:30:00",531,12.93,25.93,0.202,0.35877,0.2246,0.3188,83.289,71.421,22.631,0.338,22.959,22.571,0.27,22.839,22.44,0.337,22.775,22.386,0.245,22.62,66.264,53.155,0.68332,0.57828,0.68834,0.51604,81.352,75.344,22.194,0.416,22.6,22.168,0.209,22.373,21.886,0.382,22.264,21.863,0.228,22.075,62.512,50.184
"2025-05-30 18:00:00",532,12.93,25.53,0.1428,0.25836,0.17046,0.22928,90.186,71.361,22.696,0.319,23.004,22.643,0.269,22.91,22.46,0.327,22.785,22.409,0.26,22.66,65.956,55.083,0.55036,0.4559,0.5711,0.41635,84.719,75.926,22.233,0.416,22.637,22.22,0.235,22.453,21.87,0.37,22.236,21.848,0.244,22.08,66.122,54.043
"2025-05-30 18:30:00",533,12.93,25.22,0.10236,0.1875,0.12468,0.1595,84.827,72.218,22.61,0.307,22.908,22.553,0.271,22.822,22.465,0.312,22.775,22.416,0.266,22.673,64.577,55.943,0.48158,0.36871,0.49738,0.33934,81.927,76.426,22.129,0.393,22.511,22.119,0.239,22.355,21.838,0.351,22.185,21.823,0.25,22.063,68.395,55.559
