"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-06-18 10:00:00",20451,10.82456,302,0,0.07,1.6,1.58,0.08474,0.08374,0.10388,0.1147,53.505,41.098
"2025-06-18 10:30:00",20452,10.83044,302,0,0.055,1.13,1.43,0.05992,0.07574,0.07536,0.10807,53.206,42.551
"2025-06-18 11:00:00",20453,10.81449,302,0,0.078,2.02,1.43,0.10714,0.07574,0.10824,0.11105,60.725,43.314
"2025-06-18 11:30:00",20454,10.83128,302,0,0.056,1.12,1.48,0.05956,0.07834,0.06926,0.10614,55.826,43.825
"2025-06-18 12:00:00",20455,10.82792,302,0,0.088,2.4,1.45,0.12746,0.07706,0.13578,0.10456,59.946,46.13
"2025-06-18 12:30:00",20456,10.8254,302,0,-0.27,-11.32,0.75,-0.60293,0.03984,-0.27735,0.08812,43.332,43.489
"2025-06-18 13:00:00",20457,10.81869,302,0,0.016,-0.29,1.23,-0.01651,0.0651,0.05252,0.10908,47.374,43.267
"2025-06-18 13:30:00",20458,10.83128,302,0,0.103,2.78,1.75,0.14766,0.09334,0.14368,0.12181,72.598,41.328
"2025-06-18 14:00:00",20459,10.81869,302,0,0.058,1.2,1.47,0.06402,0.07786,0.08492,0.1127,54.605,42.446
"2025-06-18 14:30:00",20460,10.82624,302,0,0.06,1.32,1.42,0.07015,0.07496,0.08822,0.11296,53.499,43.002
"2025-06-18 15:00:00",20461,10.79099,302,0,0.046,0.82,1.35,0.04342,0.07186,0.0703,0.11012,52.06,41.978
"2025-06-18 15:30:00",20462,10.82121,302,0,0.054,1.05,1.47,0.05612,0.0781,0.07983,0.11587,51.083,43.077
"2025-06-18 16:00:00",20463,10.82456,302,0,0.057,1.13,1.52,0.06015,0.08027,0.08824,0.11516,50.3,40.892
"2025-06-18 16:30:00",20464,10.81449,302,0,0.061,1.27,1.55,0.06724,0.08199,0.08364,0.11937,52.926,41.586
"2025-06-18 17:00:00",20465,10.79686,302,0,0.058,1.2,1.48,0.06342,0.0788,0.0884,0.11648,52.016,43.026
"2025-06-18 17:30:00",20466,10.79015,302,0,0.07,1.62,1.55,0.08566,0.08245,0.10586,0.1197,52.885,41.401
"2025-06-18 18:00:00",20467,10.79518,302,0,0.07,1.57,1.6,0.08356,0.08512,0.10308,0.1197,52.626,40.205
"2025-06-18 18:30:00",20468,10.77,302,0,0.061,1.33,1.45,0.07088,0.0773,0.08904,0.11804,50.745,42.484
"2025-06-18 19:00:00",20469,10.78175,302,0,0.063,1.33,1.58,0.07068,0.08375,0.09136,0.12102,52.984,41.239
"2025-06-18 19:30:00",20470,10.79518,302,0,0.061,1.3,1.52,0.0686,0.08052,0.09116,0.11776,51.333,41.248
"2025-06-18 20:00:00",20471,10.79518,302,0,0.071,1.65,1.58,0.08742,0.084,0.10686,0.11843,51.127,41.302
"2025-06-18 20:30:00",20472,10.78763,302,0,0.065,1.42,1.58,0.0752,0.084,0.0996,0.12102,52.028,41.267
"2025-06-18 21:00:00",20473,10.78259,302,0,0.066,1.47,1.53,0.0776,0.08102,0.10182,0.12102,51.705,41.465
"2025-06-18 21:30:00",20474,10.74817,302,0,0.068,1.47,1.63,0.0776,0.08698,0.09754,0.12652,52.466,41.296
"2025-06-18 22:00:00",20475,10.76245,302,0,0.066,1.42,1.62,0.07518,0.08618,0.09748,0.1207,52.477,41.72
"2025-06-18 22:30:00",20476,10.77504,302,0,0.066,1.43,1.62,0.07609,0.08618,0.0984,0.11804,51.933,42.112
"2025-06-18 23:00:00",20477,10.77672,302,0,0.068,1.5,1.58,0.08002,0.08425,0.0998,0.1194,51.589,41.769
"2025-06-18 23:30:00",20478,10.76664,302,0,0.066,1.45,1.58,0.07667,0.08375,0.09667,0.11908,51.545,42.552
"2025-06-19 00:00:00",20479,10.76245,302,0,0.066,1.45,1.57,0.07686,0.0832,0.09686,0.11843,51.282,41.353
