"TOA5","CR300Series_423","CR300","27025","CR300-RF407.Std.10.03","CPU:sapflux_3sensor_CR300_30min.cr300","39968","SapFlowAll"
"TIMESTAMP","RECORD","Batt_volt","PTemp_C","S0_AlpOut","S0_AlpInn","S0_BetOut","S0_BetInn","S0_tMxTout","S0_tMxTinn","S0_TpDsOut","S0_dTDsOut","S0_TsDsOut","S0_TpUsOut","S0_dTUsOut","S0_TsUsOut","S0_TpDsInn","S0_dTDsInn","S0_TsDsInn","S0_TpUsInn","S0_dTUsInn","S0_TsUsInn","S0_tMxTUsO","S0_tMxTUsI","S1_AlpOut","S1_AlpInn","S1_BetOut","S1_BetInn","S1_tMxTout","S1_tMxTinn","S1_TpDsOut","S1_dTDsOut","S1_TsDsOut","S1_TpUsOut","S1_dTUsOut","S1_TsUsOut","S1_TpDsInn","S1_dTDsInn","S1_TsDsInn","S1_TpUsInn","S1_dTUsInn","S1_TsUsInn","S1_tMxTUsO","S1_tMxTUsI","S2_AlpOut","S2_AlpInn","S2_BetOut","S2_BetInn","S2_tMxTout","S2_tMxTinn","S2_TpDsOut","S2_dTDsOut","S2_TsDsOut","S2_TpUsOut","S2_dTUsOut","S2_TsUsOut","S2_TpDsInn","S2_dTDsInn","S2_TsDsInn","S2_TpUsInn","S2_dTUsInn","S2_TsUsInn","S2_tMxTUsO","S2_tMxTUsI"
"TS","RN","","","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec","ratio","ratio","ratio","ratio","sec","sec","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","sec","sec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-06-17 16:00:00",1353,13.2,26.24,0.06428,0.39168,0.0981,0.38918,91.699,79.35,24.633,0.321,24.938,24.602,0.291,24.888,24.143,0.366,24.504,24.075,0.248,24.319,80.9,61.353,0.08242,0.25428,0.11211,0.24878,88.135,70.128,24.589,0.33,24.905,24.637,0.295,24.928,24.093,0.336,24.427,24.153,0.262,24.412,78.472,63.728,0.07972,-0.02013,0.09192,-0.00799,84.804,80.553,24.779,0.296,25.066,24.757,0.27,25.022,24.455,0.251,24.701,24.42,0.253,24.671,80.109,64.69
"2025-06-17 16:30:00",1354,13.18,26.15,0.05062,0.42005,0.11534,0.42636,109.94,79.968,24.822,0.358,25.146,24.765,0.319,25.073,24.221,0.386,24.6,24.142,0.252,24.391,88.469,61.722,0.10749,0.3343,0.14129,0.33106,96.609,75.087,24.814,0.387,25.177,24.876,0.336,25.202,24.198,0.369,24.564,24.257,0.265,24.519,85.19,62.664,0.12124,0,0.13691,0.02212,82.961,89.369,25.223,0.297,25.512,25.192,0.259,25.448,24.669,0.274,24.935,24.626,0.268,24.892,75.727,68.178
"2025-06-17 17:00:00",1355,13.18,26.62,0.07568,0.38712,0.09866,0.37775,83.373,76.983,24.911,0.298,25.199,24.875,0.27,25.142,24.411,0.356,24.763,24.33,0.244,24.569,74.811,57.499,0.10497,0.26778,0.13216,0.26206,85.001,70.758,24.895,0.323,25.206,24.945,0.283,25.225,24.39,0.334,24.722,24.45,0.257,24.704,73.833,64.107,0.08435,-0.01649,0.09746,-0.00815,84.987,79.468,25.148,0.28,25.42,25.111,0.254,25.361,24.848,0.245,25.089,24.807,0.247,25.052,79.024,64.118
"2025-06-17 17:30:00",1356,13.17,26.21,0.03946,0.33701,0.06116,0.33926,87.151,78.526,24.858,0.32,25.168,24.823,0.301,25.121,24.389,0.358,24.742,24.323,0.255,24.575,72.882,63.016,0.0703,0.23976,0.09559,0.23816,90.588,71.071,24.894,0.34,25.218,24.942,0.309,25.244,24.418,0.335,24.751,24.475,0.264,24.737,83.183,66.178,0.10077,-0.02799,0.1157,-0.01179,86.696,83.462,25.219,0.302,25.511,25.192,0.269,25.456,24.907,0.253,25.154,24.872,0.256,25.126,80.479,64.557
"2025-06-17 18:00:00",1357,13.16,26.57,0.05547,0.34852,0.08836,0.34266,89.451,78.098,24.943,0.331,25.258,24.913,0.303,25.211,24.503,0.355,24.853,24.437,0.252,24.684,76.174,59.855,0.08311,0.2573,0.11155,0.25554,91.717,70.445,25.046,0.341,25.372,25.095,0.305,25.395,24.559,0.337,24.894,24.619,0.261,24.878,81.05,64.294,0.11676,-0.02429,0.1264,-0.01201,82.036,81.592,25.461,0.261,25.715,25.417,0.23,25.643,25.101,0.249,25.345,25.064,0.252,25.314,77.086,65.98
"2025-06-17 18:30:00",1358,13.16,26.88,0.03402,0.31955,0.06594,0.31226,92.689,77.608,24.953,0.282,25.222,24.928,0.264,25.188,24.542,0.343,24.882,24.483,0.251,24.73,79.904,62.59,0.07894,0.22857,0.10073,0.22312,83.884,68.13,25.095,0.313,25.398,25.144,0.283,25.424,24.659,0.325,24.982,24.72,0.26,24.977,76.478,63.235,0.10024,-0.03337,0.11078,-0.03299,79.235,78.535,25.435,0.267,25.697,25.391,0.239,25.628,25.207,0.239,25.443,25.17,0.247,25.414,73.016,64.197
"2025-06-17 19:00:00",1359,13.15,26.42,0.01367,0.19861,0.02658,0.19658,87.156,74.559,24.742,0.305,25.036,24.742,0.297,25.032,24.456,0.325,24.778,24.418,0.267,24.682,82.812,63.018,0.03076,0.15739,0.04664,0.15628,83.501,68.253,24.896,0.307,25.193,24.934,0.293,25.222,24.587,0.311,24.896,24.642,0.266,24.906,77.351,65.867,0.03493,-0.06697,0.04952,-0.06219,81.538,77.031,25.241,0.269,25.503,25.208,0.256,25.461,25.126,0.234,25.357,25.099,0.249,25.346,79.379,67.003
"2025-06-17 19:30:00",1360,13.15,25.96,-0.00653,0.12931,0.00942,0.12792,85.716,74.611,24.343,0.32,24.65,24.368,0.317,24.677,24.264,0.308,24.569,24.249,0.271,24.517,80.877,62.825,-0.01059,0.11906,0.0034,0.11818,83.804,66.046,24.546,0.291,24.829,24.567,0.29,24.853,24.416,0.296,24.71,24.462,0.263,24.723,77.403,64.163,-0.00761,-0.08741,0.00374,-0.08629,82.873,74.814,24.828,0.269,25.09,24.781,0.268,25.045,24.92,0.222,25.139,24.898,0.242,25.137,77.67,65.294
"2025-06-17 20:00:00",1361,13.14,25.11,-0.02315,0.08367,-0.01281,0.08276,83.969,76.09,24.084,0.311,24.383,24.119,0.315,24.425,24.062,0.302,24.361,24.059,0.278,24.334,82.356,64.553,-0.04227,0.0898,-0.02763,0.08916,83.053,64.795,24.276,0.286,24.554,24.293,0.294,24.583,24.212,0.293,24.503,24.255,0.268,24.521,77.658,64.921,0.00405,-0.09989,0.00802,-0.09861,79.442,77.728,24.562,0.251,24.808,24.526,0.249,24.771,24.694,0.222,24.913,24.679,0.245,24.921,78.807,64.654
"2025-06-17 20:30:00",1362,13.14,24.65,-0.04487,0.06404,-0.02159,0.05632,83.72,71.87,23.724,0.276,23.986,23.773,0.282,24.047,23.832,0.292,24.122,23.843,0.276,24.115,83.347,62.317,-0.05001,0.08002,-0.04197,0.07568,83.237,65.229,23.981,0.28,24.254,23.99,0.292,24.277,24.003,0.288,24.289,24.041,0.267,24.305,77.087,66.61,-0.01275,-0.11003,-0.00835,-0.11317,71.487,75.611,24.229,0.239,24.464,24.185,0.241,24.423,24.44,0.217,24.655,24.427,0.243,24.667,70.09,65.332
"2025-06-17 21:00:00",1363,13.14,24.04,-0.07619,0.0421,-0.07119,0.03826,74.601,71.932,23.484,0.244,23.724,23.543,0.262,23.802,23.603,0.293,23.894,23.623,0.282,23.902,73.236,62.379,-0.05295,0.06896,-0.04141,0.07194,83.48,65.975,23.679,0.284,23.955,23.678,0.296,23.969,23.766,0.288,24.051,23.799,0.268,24.065,78.335,65.85,-0.02031,-0.11831,-0.01575,-0.11267,84.722,74.629,23.876,0.252,24.12,23.836,0.256,24.085,24.153,0.218,24.368,24.144,0.244,24.386,84.849,62.572
"2025-06-17 21:30:00",1364,13.13,23.54,-0.07969,0.02852,-0.07873,0.02824,70.819,71.626,23.188,0.232,23.417,23.249,0.251,23.497,23.384,0.287,23.668,23.41,0.279,23.686,67.717,63.56,-0.06343,0.06194,-0.05171,0.06496,84.608,64.346,23.412,0.283,23.687,23.407,0.298,23.7,23.544,0.286,23.827,23.574,0.268,23.84,80.468,67.734,-0.02787,-0.11831,-0.01167,-0.12133,83.318,73.733,23.59,0.256,23.838,23.55,0.259,23.805,23.89,0.217,24.105,23.884,0.245,24.126,75.065,64.974
"2025-06-17 22:00:00",1365,13.13,22.97,-0.08951,0.02148,-0.09227,0.01772,68.398,72.927,22.875,0.238,23.11,22.939,0.261,23.196,23.15,0.284,23.432,23.182,0.279,23.458,68.275,62.133,-0.05957,0.06194,-0.05129,0.06496,82.796,65.542,23.157,0.285,23.434,23.148,0.3,23.442,23.318,0.286,23.601,23.346,0.268,23.612,80.662,66.169,-0.02453,-0.11887,-0.01605,-0.12193,79.257,74.242,23.294,0.248,23.536,23.228,0.252,23.476,23.613,0.216,23.827,23.606,0.244,23.847,78.876,64.72
"2025-06-17 22:30:00",1366,13.12,22.72,-0.07643,0.01056,-0.06925,0.0105,79.245,72.111,22.74,0.265,22.992,22.805,0.284,23.077,22.99,0.287,23.275,23.024,0.284,23.306,78.873,62.807,-0.04227,0.05446,-0.03115,0.05755,81.021,66.782,22.974,0.285,23.252,22.959,0.294,23.249,23.137,0.286,23.42,23.164,0.27,23.432,79.14,66.407,-0.04259,-0.12193,-0.03789,-0.12087,77.983,73.984,23.052,0.259,23.305,22.99,0.269,23.254,23.384,0.218,23.6,23.377,0.246,23.621,77.095,66.242
"2025-06-17 23:00:00",1367,13.12,22.56,-0.07047,0.0069,-0.06591,0.00686,73.096,75.888,22.689,0.279,22.963,22.748,0.298,23.042,22.889,0.292,23.179,22.921,0.29,23.209,73.469,68.072,-0.04127,0.05018,-0.03019,0.04982,84.556,67.303,22.889,0.294,23.174,22.893,0.303,23.19,23.013,0.288,23.299,23.046,0.274,23.318,80.918,66.675,-0.00395,-0.11983,0,-0.11429,81.26,74.47,23.006,0.259,23.259,22.973,0.259,23.227,23.246,0.223,23.466,23.247,0.25,23.495,81.133,65.206
"2025-06-17 23:30:00",1368,13.11,22.21,-0.06197,0,-0.05441,0.00338,79.665,75.015,22.553,0.322,22.866,22.609,0.34,22.942,22.776,0.298,23.071,22.809,0.297,23.104,79.788,66.208,-0.08221,0.04648,-0.07339,0.04618,84.177,65.919,22.805,0.289,23.085,22.803,0.311,23.107,22.913,0.288,23.199,22.946,0.275,23.219,80.537,69.307,-0.00407,-0.11483,-0.00795,-0.11381,84.629,76.315,22.888,0.253,23.136,22.851,0.255,23.1,23.104,0.224,23.326,23.105,0.251,23.354,85.771,65.529
"2025-06-18 00:00:00",1369,13.11,22.34,-0.06705,-0.00345,-0.05503,0,80.674,74.285,22.625,0.283,22.899,22.686,0.299,22.979,22.768,0.293,23.058,22.799,0.293,23.09,80.054,66.468,-0.06879,0.04287,-0.06001,0.04602,83.989,65.23,22.761,0.291,23.042,22.763,0.309,23.064,22.843,0.289,23.129,22.879,0.276,23.153,82.107,69.372,-0.01913,-0.12729,-0.01503,-0.11777,83.173,78.921,22.832,0.265,23.091,22.807,0.269,23.071,23.016,0.224,23.237,23.019,0.252,23.27,79.746,67.626
"2025-06-18 00:30:00",1370,13.1,22.28,-0.07599,-0.00697,-0.06683,-0.00695,79.988,74.095,22.569,0.275,22.835,22.626,0.294,22.913,22.726,0.289,23.013,22.756,0.291,23.045,80.112,66.033,-0.08281,0.03935,-0.08057,0.04252,86.89,67.877,22.711,0.286,22.989,22.717,0.31,23.019,22.783,0.288,23.068,22.821,0.276,23.095,85.509,69.257,-0.03417,-0.11881,-0.02987,-0.11777,80.921,76.923,22.765,0.264,23.024,22.729,0.272,22.997,22.934,0.224,23.156,22.935,0.252,23.185,76.479,64.617
"2025-06-18 01:00:00",1371,13.1,22.36,-0.07829,-0.01387,-0.05259,-0.01033,92.525,73.482,22.511,0.278,22.769,22.566,0.293,22.845,22.663,0.289,22.949,22.692,0.292,22.982,91.408,65.667,-0.06927,0.03935,-0.06409,0.04618,83.799,66.545,22.646,0.287,22.925,22.653,0.306,22.952,22.718,0.288,23.003,22.757,0.275,23.031,80.161,68.176,-0.03205,-0.12385,-0.02341,-0.12673,84.503,74.92,22.669,0.254,22.915,22.635,0.26,22.889,22.838,0.222,23.058,22.838,0.252,23.087,82.598,64.897
"2025-06-18 01:30:00",1372,13.1,22.14,-0.06209,-0.01371,-0.05389,-0.01361,82.839,73.721,22.472,0.289,22.753,22.529,0.305,22.828,22.618,0.292,22.908,22.646,0.296,22.94,77.504,66.154,-0.05171,0.03905,-0.04031,0.03876,81.974,65.724,22.619,0.292,22.902,22.626,0.304,22.924,22.668,0.289,22.955,22.708,0.278,22.984,79.339,68.108,-0.02621,-0.12623,-0.02585,-0.11681,80.441,77.459,22.628,0.268,22.892,22.597,0.275,22.868,22.766,0.226,22.989,22.767,0.254,23.02,79.553,67.687
"2025-06-18 02:00:00",1373,13.09,22.21,-0.08423,-0.02039,-0.07621,-0.01685,77.444,75.272,22.558,0.303,22.854,22.61,0.327,22.932,22.633,0.295,22.925,22.658,0.3,22.956,76.823,68.202,-0.08115,0.03542,-0.07535,0.03518,88.122,66.854,22.649,0.294,22.933,22.664,0.317,22.972,22.66,0.289,22.947,22.704,0.279,22.981,83.73,69.49,-0.04497,-0.13019,-0.04349,-0.12463,84.502,76.187,22.659,0.27,22.92,22.643,0.282,22.916,22.746,0.226,22.969,22.749,0.256,23.003,84.374,69.208
"2025-06-18 02:30:00",1374,13.09,22.12,-0.10073,-0.02413,-0.08813,-0.02049,83.461,75.831,22.585,0.293,22.868,22.651,0.32,22.964,22.649,0.29,22.936,22.678,0.296,22.972,79.863,68.264,-0.06879,0.03918,-0.05355,0.03894,87.397,65.368,22.634,0.291,22.915,22.648,0.307,22.949,22.647,0.288,22.933,22.693,0.277,22.968,81.75,69.008,-0.03681,-0.13075,-0.03587,-0.12523,80.768,77.784,22.63,0.274,22.897,22.62,0.284,22.897,22.718,0.225,22.94,22.724,0.255,22.977,81.656,67.503
"2025-06-18 03:00:00",1375,13.09,22.18,-0.05183,-0.02413,-0.04073,-0.02049,85.335,74.726,22.544,0.313,22.845,22.61,0.326,22.927,22.614,0.29,22.901,22.644,0.296,22.938,83.224,68.397,-0.05039,0.04312,-0.04227,0.04287,82.375,66.873,22.572,0.278,22.843,22.58,0.29,22.865,22.598,0.286,22.882,22.641,0.274,22.913,80.742,66.999,-0.03071,-0.12439,-0.03021,-0.12331,81.011,76.76,22.527,0.261,22.784,22.518,0.269,22.783,22.641,0.221,22.86,22.649,0.25,22.897,78.6,67.749
"2025-06-18 03:30:00",1376,13.09,21.99,-0.04433,-0.02407,-0.03663,-0.02043,87.99,76.391,22.371,0.322,22.68,22.437,0.334,22.76,22.499,0.291,22.787,22.531,0.297,22.826,85.633,68.328,-0.06879,0.03596,-0.06001,0.03935,85.865,65.602,22.407,0.291,22.688,22.407,0.309,22.708,22.483,0.285,22.766,22.52,0.274,22.793,83.482,68.487,-0.04503,-0.13299,-0.03583,-0.13183,83.419,75.361,22.37,0.247,22.609,22.36,0.256,22.61,22.505,0.22,22.723,22.509,0.251,22.758,80.501,65.841
