"TOA5","CR300Series_424","CR300","4258","CR300.Std.11.00","CPU:CR300_sapflow.CR300","47433","Table3"
"TIMESTAMP","RECORD","BattV_Min","id","SDI2","SapFlwTot2","VhOuter2","VhInner2","AlphaOut2","AlphaIn2","BetaOut2","BetaIn2","tMaxTout2","tmaxTin2"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-07-18 11:30:00",2342,12.95,424,2,0.258,8.27,2.7,0.683,0.223,0.688,0.295,84.4,97.4
"2025-07-18 12:00:00",2343,12.94,424,2,0.238,7.62,2.48,0.629,0.205,0.651,0.279,85.2,101
"2025-07-18 12:30:00",2344,12.94,424,2,0.227,6.77,3.04,0.559,0.251,0.499,0.355,109.5,109.8
"2025-07-18 13:00:00",2345,12.94,424,2,0.231,7.34,2.51,0.607,0.207,0.632,0.282,106.9,95
"2025-07-18 13:30:00",2346,12.93,424,2,0.267,8.71,2.55,0.72,0.211,0.737,0.269,81,94.8
"2025-07-18 14:00:00",2347,12.93,424,2,0.292,9.58,2.75,0.792,0.227,0.799,0.282,79.45,94.3
"2025-07-18 14:30:00",2348,12.93,424,2,0.273,9.01,2.51,0.744,0.207,0.755,0.269,82.6,93.4
"2025-07-18 15:00:00",2349,12.93,424,2,0.296,9.76,2.69,0.807,0.222,0.815,0.273,80.5,91.3
"2025-07-18 15:30:00",2350,12.93,424,2,0.295,9.54,2.94,0.788,0.242,0.798,0.293,78.68,90.4
"2025-07-18 16:00:00",2351,12.93,424,2,0.27,8.69,2.75,0.717,0.227,0.745,0.293,85.7,93.4
"2025-07-18 16:30:00",2352,12.93,424,2,0.18,6.01,1.55,0.496,0.128,0.527,0.188,86.1,93
"2025-07-18 17:00:00",2353,12.93,424,2,0.297,10.18,2.23,0.841,0.184,0.826,0.276,85.6,108.6
