"TOA5","CR200Series_100","CR200X","No_SN","CR200X.Std.00","sapflux_2sensor_CR200X_30min.cr2","43664","Table_S0"
"TIMESTAMP","RECORD","BattV_Min","id","SensorAddress0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-07-09 11:30:00",0,12.92064,100,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-07-09 12:00:00",1,12.94499,100,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-07-09 12:30:00",2,12.9517,100,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-07-09 13:00:00",3,12.95254,100,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-07-09 13:30:00",4,12.95422,100,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-07-09 14:00:00",5,12.95086,100,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-07-09 14:30:00",6,12.95674,100,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2025-07-09 15:00:00",7,12.95338,100,0,0.3,2.35,6.41,0.20788,0.5671,0.16841,0.43502,56.548,43.197
"2025-07-09 15:30:00",8,12.89798,100,0,10.487,46.24,37.57,1.62885,2.01655,1.88477,1.43013,33.136,36.767
"2025-07-09 16:00:00",9,12.90385,100,0,9.718,42.47,35.23,1.5864,1.85662,1.78749,1.34075,34.641,37.858
"2025-07-09 16:30:00",10,12.90637,100,0,8.823,37.99,32.6,1.60453,1.76199,1.70864,1.25743,36.577,39.12
"2025-07-09 17:00:00",11,12.90553,100,0,7.717,32.59,29.21,1.51031,1.58432,1.55379,1.13141,39.128,40.841
"2025-07-09 17:30:00",12,12.89882,100,0,7.105,29.03,27.95,1.42985,1.4851,1.46351,1.06329,40.941,41.512
"2025-07-09 18:00:00",13,12.91225,100,0,6.891,28.45,26.79,1.4064,1.43731,1.43381,1.02806,41.242,42.124
"2025-07-09 18:30:00",14,12.91225,100,0,5.303,26.58,15.52,1.37114,1.37343,1.37759,0.98843,42.266,42.577
"2025-07-09 19:00:00",15,12.90973,100,0,4.1,21.09,11.41,1.09221,1.01028,1.06767,0.73519,45.27,43.919
"2025-07-09 19:30:00",16,12.91309,100,0,2.025,8.66,7.55,0.76668,0.66812,0.74023,0.4805,49.004,45.318
"2025-07-09 20:00:00",17,12.90973,100,0,1.698,7.36,6.22,0.6512,0.55047,0.63072,0.39176,50.632,45.127
"2025-07-09 20:30:00",18,12.91309,100,0,1.366,6,4.92,0.53122,0.43589,0.51388,0.29988,51.298,43.87
"2025-07-09 21:00:00",19,12.91057,100,0,0.965,4.37,3.33,0.38696,0.29452,0.37076,0.19215,51.499,44.072
"2025-07-09 21:30:00",20,12.9005,100,0,0.844,3.86,2.87,0.34196,0.25362,0.33006,0.15826,51.337,44.171
"2025-07-09 22:00:00",21,12.91141,100,0,0.802,3.67,2.73,0.32508,0.24137,0.31816,0.15412,51.489,43.235
"2025-07-09 22:30:00",22,12.90889,100,0,0.79,3.61,2.69,0.31948,0.23776,0.31088,0.14966,51.338,44.171
"2025-07-09 23:00:00",23,12.89966,100,0,0.666,3.11,2.2,0.27488,0.19449,0.26108,0.10841,50.886,42.887
"2025-07-09 23:30:00",24,12.9005,100,0,0.497,2.41,1.54,0.21332,0.13636,0.20481,0.06582,51.172,44.006
"2025-07-10 00:00:00",25,12.89546,100,0,0.384,1.88,1.17,0.16661,0.10393,0.16185,0.04088,52.073,42.828
"2025-07-10 00:30:00",26,12.90469,100,0,0.418,2.05,1.27,0.18136,0.11238,0.1753,0.04996,51.723,42.891
"2025-07-10 01:00:00",27,12.89798,100,0,0.436,2.11,1.36,0.18652,0.12028,0.18274,0.05228,51.192,42.362
"2025-07-10 01:30:00",28,12.8963,100,0,0.439,2.1,1.39,0.18604,0.12314,0.18233,0.05465,52.884,43.226
