"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-07-09 14:00:00",21467,13.17919,304,1,0.048,0.67,1.65,0.05562,0.13631,0.03993,0.1375,83.131,64.419
"2025-07-09 14:30:00",21468,13.17331,304,1,0.042,0.48,1.64,0.03978,0.13511,0.02184,0.13631,81.234,64.803
"2025-07-09 15:00:00",21469,13.18591,304,1,0.051,0.77,1.68,0.06402,0.13854,0.05042,0.14226,81.988,65.812
"2025-07-09 15:30:00",21470,13.18591,304,1,0.057,0.97,1.75,0.07984,0.14506,0.0635,0.14166,88.99,67.988
"2025-07-09 16:00:00",21471,13.18926,304,1,0.04,0.41,1.61,0.03378,0.13353,0.02298,0.13954,75.078,63.978
"2025-07-09 16:30:00",21472,13.18591,304,1,0.039,0.32,1.65,0.02714,0.1361,0.01338,0.13962,73.604,63.267
"2025-07-09 17:00:00",21473,13.18255,304,1,0.041,0.39,1.67,0.03294,0.13778,0.02166,0.1436,70.561,61.745
"2025-07-09 17:30:00",21474,13.1347,304,1,0.045,0.55,1.68,0.04476,0.13872,0.03106,0.14482,75.362,62.491
"2025-07-09 18:00:00",21475,13.1666,304,1,0.047,0.6,1.7,0.0494,0.13999,0.03569,0.14603,77.593,63.199
"2025-07-09 18:30:00",21476,13.18003,304,1,0.045,0.52,1.74,0.04332,0.14326,0.03197,0.1467,74.993,62.627
"2025-07-09 19:00:00",21477,13.17667,304,1,0.047,0.59,1.72,0.0486,0.14207,0.0372,0.14778,75.293,62.17
