"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-12-12 14:30:00",11438,12.04007,302,0,0.067,2.22,0.6,0.11776,0.0319,0.12444,0.08318,54.159,40.171
"2024-12-12 15:00:00",11439,12.92316,302,0,0.056,1.68,0.72,0.08904,0.03814,0.09772,0.0863,52.797,41.48
"2024-12-12 15:30:00",11440,12.85013,302,0,0.057,1.72,0.72,0.0911,0.0385,0.10486,0.08525,52.799,40.643
"2024-12-12 16:00:00",11441,12.83754,302,0,0.048,1.35,0.73,0.0718,0.03864,0.10298,0.08371,50.046,39.553
"2024-12-12 16:30:00",11442,12.84509,302,0,0.052,1.48,0.78,0.07875,0.04118,0.1008,0.08611,52.41,40.261
"2024-12-12 17:00:00",11443,12.84006,302,0,0.054,1.55,0.78,0.08253,0.04126,0.09919,0.08648,52.989,40.166
"2024-12-12 17:30:00",11444,12.84845,302,0,0.052,1.55,0.72,0.08274,0.03821,0.10077,0.08303,51.584,40.528
"2024-12-12 18:00:00",11445,12.84258,302,0,0.053,1.53,0.75,0.08174,0.03972,0.10022,0.08191,52.638,39.913
"2024-12-12 18:30:00",11446,12.83418,302,0,0.053,1.58,0.7,0.08396,0.0374,0.10236,0.08375,52.736,40.587
"2024-12-12 19:00:00",11447,12.84258,302,0,0.054,1.6,0.75,0.08468,0.04026,0.10133,0.08476,52.702,39.719
"2024-12-12 19:30:00",11448,12.83586,302,0,0.054,1.53,0.82,0.08138,0.04322,0.09973,0.08769,52.06,40.48
"2024-12-12 20:00:00",11449,12.82747,302,0,0.054,1.57,0.75,0.08294,0.04004,0.09966,0.08252,51.946,40.214
"2024-12-12 20:30:00",11450,12.8325,302,0,0.054,1.65,0.67,0.08768,0.03554,0.10283,0.0822,52.779,40.476
"2024-12-12 21:00:00",11451,12.8006,302,0,0.052,1.55,0.72,0.08264,0.03796,0.10254,0.08476,52.336,40.182
"2024-12-12 21:30:00",11452,12.81571,302,0,0.053,1.53,0.75,0.08145,0.04016,0.10123,0.08476,53.151,40.588
"2024-12-12 22:00:00",11453,12.81907,302,0,0.053,1.52,0.77,0.08095,0.04048,0.09769,0.08339,51.852,40.376
"2024-12-12 22:30:00",11454,12.81068,302,0,0.054,1.57,0.75,0.08294,0.04016,0.10119,0.08492,52.743,40.746
"2024-12-12 23:00:00",11455,12.81152,302,0,0.053,1.58,0.7,0.08425,0.03754,0.10102,0.0822,52.513,39.947
"2024-12-12 23:30:00",11456,12.81571,302,0,0.053,1.55,0.75,0.08226,0.03954,0.09754,0.08362,52.561,40.831
"2024-12-13 00:00:00",11457,12.81236,302,0,0.057,1.7,0.75,0.09059,0.03972,0.10703,0.08191,52.299,40.568
"2024-12-13 00:30:00",11458,12.8048,302,0,0.054,1.62,0.7,0.08542,0.03754,0.102,0.08206,52.19,40.047
"2024-12-13 01:00:00",11459,12.80732,302,0,0.056,1.65,0.78,0.08756,0.04197,0.10252,0.0822,52.298,40.568
"2024-12-13 01:30:00",11460,12.8048,302,0,0.055,1.65,0.7,0.08742,0.03754,0.10236,0.08425,52.209,40.892
"2024-12-13 02:00:00",11461,12.80732,302,0,0.053,1.6,0.7,0.0853,0.0374,0.1021,0.0822,53.018,40.878
"2024-12-13 02:30:00",11462,12.80648,302,0,0.054,1.62,0.7,0.08547,0.03746,0.1021,0.0822,53.255,40.431
"2024-12-13 03:00:00",11463,12.81068,302,0,0.051,1.5,0.72,0.08002,0.03781,0.09828,0.08271,52.014,39.863
"2024-12-13 03:30:00",11464,12.78465,302,0,0.056,1.6,0.83,0.08486,0.04434,0.09973,0.08443,52.298,40.984
"2024-12-13 04:00:00",11465,12.80648,302,0,0.052,1.5,0.73,0.07948,0.03936,0.09634,0.08174,52.506,40.209
"2024-12-13 04:30:00",11466,12.79725,302,0,0.052,1.52,0.73,0.08054,0.0393,0.0959,0.0814,53.219,40.661
