"TOA5","CR300Series_405","CR300","27023","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","32345","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-12-05 12:30:00",6549,13.09,405,0,0.18,6.09,1.43,0.504,0.118,0.531,0.141,89.9,93
"2024-12-05 13:00:00",6550,12.97,405,0,0.214,7.23,1.72,0.597,0.142,0.642,0.172,90.9,90.4
"2024-12-05 13:30:00",6551,12.95,405,0,0.252,8.31,2.3,0.687,0.19,0.725,0.212,83.2,85.3
"2024-12-05 14:00:00",6552,12.94,405,0,0.211,6.82,2.1,0.564,0.174,0.622,0.205,90.9,89.4
"2024-12-05 14:30:00",6553,12.93,405,0,0.219,7.14,2.14,0.59,0.177,0.65,0.203,88.7,88.6
"2024-12-05 15:00:00",6554,12.93,405,0,0.155,5.31,1.16,0.439,0.096,0.499,0.128,93.3,85.9
"2024-12-05 15:30:00",6555,12.93,405,0,0.168,5.69,1.37,0.47,0.113,0.502,0.13,86.5,85.8
"2024-12-05 16:00:00",6556,12.92,405,0,0.147,5.07,1.05,0.419,0.087,0.465,0.105,89.3,84
"2024-12-05 16:30:00",6557,12.92,405,0,0.114,4.19,0.5,0.346,0.042,0.378,0.062,87.4,84.2
"2024-12-05 17:00:00",6558,12.92,405,0,0.086,3.4,0.06,0.281,0.004,0.32,0.021,88.6,78.98
"2024-12-05 17:30:00",6559,12.91,405,0,0.054,2.45,-0.38,0.203,-0.033,0.239,-0.012,90.7,82.1
"2024-12-05 18:00:00",6560,12.9,405,0,0.029,1.6,-0.54,0.132,-0.046,0.161,-0.037,92,79.66
"2024-12-05 18:30:00",6561,12.9,405,0,0.011,1.27,-1.08,0.105,-0.092,0.136,-0.074,86.5,80.4
"2024-12-05 19:00:00",6562,12.9,405,0,0.01,1.25,-1.08,0.103,-0.091,0.127,-0.082,87.2,82.8
"2024-12-05 19:30:00",6563,12.9,405,0,0.014,1.36,-1.04,0.112,-0.088,0.149,-0.07,90.2,81.6
"2024-12-05 20:00:00",6564,12.9,405,0,-0.013,0.64,-1.56,0.053,-0.131,0.075,-0.121,83.7,80.8
"2024-12-05 20:30:00",6565,12.89,405,0,-0.004,0.55,-0.94,0.045,-0.08,0.065,-0.066,87.6,78.51
"2024-12-05 21:00:00",6566,12.9,405,0,-0.011,0.39,-1.1,0.032,-0.093,0.067,-0.074,91.4,82.8
"2024-12-05 21:30:00",6567,12.89,405,0,-0.026,0.11,-1.54,0.009,-0.129,0.04,-0.115,88.9,81.5
"2024-12-05 22:00:00",6568,12.89,405,0,-0.033,-0.09,-1.64,-0.009,-0.138,0.031,-0.119,92.4,82.3
