"TOA5","CR300Series_410","CR300","5798","CR300.Std.11.00","CPU:CR300_sapflow.CR300","32345","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-12-05 11:30:00",8109,13.16,410,1,0.398,0.6,1.2,0.053,0.106,0.045,0.016,56.98,39.63
"2024-12-05 12:00:00",8110,13.06,410,1,0.554,0.93,1.57,0.083,0.139,0.08,0.061,56.38,40.02
"2024-12-05 12:30:00",8111,13.02,410,1,0.637,1.12,1.75,0.099,0.154,0.074,0.024,61.5,40.96
"2024-12-05 13:00:00",8112,13,410,1,0.608,1.02,1.72,0.091,0.152,0.076,0.068,56.36,39.99
"2024-12-05 13:30:00",8113,12.99,410,1,0.708,1.24,1.95,0.11,0.173,0.089,0.104,55.07,38.12
"2024-12-05 14:00:00",8114,12.98,410,1,0.546,0.58,1.9,0.051,0.168,0.043,0.068,57.35,38.21
"2024-12-05 14:30:00",8115,12.97,410,1,0.642,1.15,1.74,0.101,0.154,0.086,0.058,55.68,39.72
"2024-12-05 15:00:00",8116,12.96,410,1,0.555,0.97,1.53,0.086,0.136,0.066,0.025,54.69,40.4
"2024-12-05 15:30:00",8117,12.96,410,1,0.648,1.09,1.83,0.096,0.162,0.084,0.067,56.38,40.16
"2024-12-05 16:00:00",8118,12.95,410,1,0.512,0.83,1.48,0.074,0.131,0.057,0.044,55.82,39.44
"2024-12-05 16:30:00",8119,12.94,410,1,0.437,0.72,1.25,0.063,0.111,0.048,0.008,56.21,38.15
"2024-12-05 17:00:00",8120,12.94,410,1,0.34,0.63,0.9,0.056,0.08,0.045,0.013,55.07,40.36
"2024-12-05 17:30:00",8121,12.93,410,1,0.29,0.48,0.83,0.042,0.073,0.034,0.012,54.27,39.13
"2024-12-05 18:00:00",8122,12.93,410,1,0.085,0.18,0.2,0.016,0.018,0.006,-0.033,54.31,39.02
"2024-12-05 18:30:00",8123,12.93,410,1,0.167,0.3,0.45,0.027,0.04,0.024,-0.002,55.58,40.03
"2024-12-05 19:00:00",8124,12.92,410,1,0.169,0.28,0.48,0.025,0.043,0.013,-0.043,58.48,38.07
"2024-12-05 19:30:00",8125,12.92,410,1,0.272,0.38,0.85,0.034,0.076,0.035,0.019,54.19,39.9
"2024-12-05 20:00:00",8126,12.92,410,1,0.079,0.1,0.26,0.009,0.023,0.004,-0.025,52.47,39.69
"2024-12-05 20:30:00",8127,12.91,410,1,0.166,0.26,0.49,0.023,0.043,0.013,-0.031,57.03,39.13
"2024-12-05 21:00:00",8128,12.91,410,1,0.049,0.13,0.09,0.011,0.008,0.011,-0.029,55.08,39.53
"2024-12-05 21:30:00",8129,12.91,410,1,0.097,0.1,0.34,0.009,0.03,0.009,-0.021,53.53,38.55
