"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-03-09 09:00:00",22651,12.81236,302,1,-0.098,-0.05,-0.34,-0.00435,-0.02771,-0.01249,-0.03433,36.926,37.805
"2022-03-09 09:30:00",22652,12.83586,302,1,-0.088,-0.04,-0.31,-0.00429,-0.02535,-0.01421,-0.03805,37.972,38.541
"2022-03-09 10:00:00",22653,12.87951,302,1,-0.077,0,-0.31,0,-0.02489,-0.01243,-0.03947,37.931,38.653
"2022-03-09 10:30:00",22654,12.87699,302,1,-0.098,-0.05,-0.34,-0.00439,-0.02763,-0.01609,-0.03789,37.51,39.061
"2022-03-09 11:00:00",22655,12.91812,302,1,-0.095,-0.04,-0.34,-0.00429,-0.02731,-0.01585,-0.03947,37.195,38.591
"2022-03-09 11:30:00",22656,12.88958,302,1,-0.083,-0.02,-0.31,-0.00217,-0.02515,-0.01417,-0.03771,38.171,38.325
"2022-03-09 12:00:00",22657,12.86608,302,1,-0.077,0,-0.31,0,-0.02519,-0.01417,-0.03405,37.351,39.056
"2022-03-09 12:30:00",22658,12.93827,302,1,-0.095,-0.02,-0.36,-0.00219,-0.02921,-0.01575,-0.03907,36.772,40.131
"2022-03-09 13:00:00",22659,12.90301,302,1,-0.085,0,-0.34,0,-0.02727,-0.01411,-0.03753,37.532,38.926
"2022-03-09 13:30:00",22660,12.90637,302,1,-0.077,0,-0.31,0,-0.02519,-0.01415,-0.03585,37.452,39.002
"2022-03-09 14:00:00",22661,13.0071,302,1,-0.075,0,-0.3,0,-0.02445,-0.01213,-0.03511,37.968,39.26
