"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-04-18 08:00:00",0,12.88371,304,1,0.013,0.45,-0.18,0.03948,-0.01695,0.02275,-0.12523,54.365,39.005
"2024-04-18 08:30:00",1,12.83334,304,1,0.053,1.18,0.12,0.10408,0.01052,0.08076,-0.11435,53.726,39.594
"2024-04-18 09:00:00",2,12.85265,304,1,0.064,1.41,0.15,0.12448,0.01284,0.09678,-0.11365,53.782,39.907
"2024-04-18 09:30:00",3,12.84509,304,1,0.078,1.62,0.31,0.14322,0.0278,0.11302,-0.10651,54.761,39.648
"2024-04-18 10:00:00",4,12.79976,304,1,0.093,1.93,0.38,0.17038,0.03402,0.13986,-0.10093,55.286,40.066
"2024-04-18 10:30:00",5,12.82579,304,1,0.101,2.07,0.44,0.18342,0.03868,0.1494,-0.10149,53.336,39.766
"2024-04-18 11:00:00",6,12.82159,304,1,0.109,2.22,0.51,0.19654,0.04517,0.1604,-0.09629,54.057,39.921
"2024-04-18 11:30:00",7,12.809,304,1,0.109,2.21,0.51,0.19534,0.04503,0.15833,-0.09967,55.152,40.186
"2024-04-18 12:00:00",8,12.80144,304,1,0.115,2.33,0.55,0.20598,0.04866,0.16835,-0.09565,54.149,39.434
"2024-04-18 12:30:00",9,12.79725,304,1,0.093,1.83,0.51,0.16201,0.04476,0.14514,-0.09063,57.061,41.254
"2024-04-18 13:00:00",10,12.79305,304,1,0.122,2.52,0.52,0.22312,0.04618,0.17265,-0.10089,52.809,39.487
