"TOA5","CR200Series_505","CR200X","No_SN","CR200X.Std.00","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2004-02-15 01:30:00",7947,12.19621,505,0,0.302,0,1.24,0,0.10934,-0.00731,0.07408,57.474,67.921
"2004-02-15 02:00:00",7948,12.08456,505,0,0.349,0.13,1.3,0.01128,0.11514,0.00364,0.07718,58.629,66.842
"2004-02-15 02:30:00",7949,12.07868,505,0,0.338,0.2,1.18,0.01728,0.10487,0.0112,0.07343,59.023,68.638
"2004-02-15 03:00:00",7950,12.15004,505,0,0.549,0.84,1.38,0.07432,0.1225,0.06492,0.08924,64.955,67.345
"2004-02-15 03:30:00",7951,12.08792,505,0,0.44,0.39,1.4,0.03463,0.1241,0.0177,0.08422,57.889,65.946
"2004-02-15 04:00:00",7952,12.06861,505,0,0.347,0.14,1.28,0.01218,0.11312,0.00196,0.07408,57.59,66.895
"2004-02-15 04:30:00",7953,12.0619,505,0,0.457,0.4,1.46,0.03572,0.12888,0.02303,0.08736,58.576,67.363
"2004-02-15 05:00:00",7954,12.05014,505,0,0.339,0.06,1.33,0.00544,0.11776,0,0.0918,60.691,67.657
"2004-02-15 05:30:00",7955,12.03839,505,0,0.433,0.45,1.31,0.03981,0.11565,0.02964,0.0797,60.015,69.629
"2004-02-15 06:00:00",7956,12.04007,505,0,0.312,0.23,1.04,0.01992,0.09178,0.01156,0.05819,57.852,65.91
"2004-02-15 06:30:00",7957,12.03168,505,0,0.201,0.09,0.73,0.00802,0.06466,0.00578,0.03149,57.118,67.41
"2004-02-15 07:00:00",7958,12.02916,505,0,0.029,-0.01,0.13,-0.00203,0.01182,-0.00583,-0.02083,56.744,66.204
"2004-02-15 07:30:00",7959,12.0216,505,0,-0.059,0.08,-0.33,0.00752,-0.03021,0.00184,-0.05471,58.629,66.582
"2004-02-15 08:00:00",7960,12.01405,505,0,-0.233,-0.27,-0.68,-0.02463,-0.06135,-0.02371,-0.08541,54.738,64.876
"2004-02-15 08:30:00",7961,12.00901,505,0,-0.183,0.11,-0.87,0.00942,-0.07777,0.00728,-0.10147,57.041,65.935
"2004-02-15 09:00:00",7962,11.98971,505,0,-0.217,0.13,-1.03,0.01116,-0.09247,0.00542,-0.11565,58.691,66.232
"2004-02-15 09:30:00",7963,11.99558,505,0,-0.259,0.08,-1.15,0.00735,-0.10251,0.00536,-0.12099,59.625,66.177
"2004-02-15 10:00:00",7964,11.98719,505,0,-0.296,0.04,-1.26,0.00373,-0.11237,0.00184,-0.12837,58.805,66.761
"2004-02-15 10:30:00",7965,11.97711,505,0,-0.313,-0.01,-1.28,-0.00191,-0.11403,-0.00549,-0.13235,58.871,66.829
"2004-02-15 11:00:00",7966,11.98131,505,0,-0.305,0.02,-1.28,0.00185,-0.11403,0.00181,-0.13443,59.301,66.424
"2004-02-15 11:30:00",7967,11.97711,505,0,-0.323,0.02,-1.35,0.00185,-0.12073,-0.00183,-0.14133,58.594,66.134
"2004-02-15 12:00:00",7968,11.97292,505,0,-0.338,-0.03,-1.36,-0.00387,-0.12129,-0.00561,-0.13957,57.796,66.425
"2004-02-15 12:30:00",7969,11.97208,505,0,-0.33,-0.03,-1.33,-0.00381,-0.11861,-0.00747,-0.13681,58.804,66.864
"2004-02-15 13:00:00",7970,11.97208,505,0,-0.337,0,-1.39,0,-0.12375,-0.00185,-0.13957,58.694,66.234
"2004-02-15 13:30:00",7971,11.95613,505,0,-0.358,-0.09,-1.38,-0.00929,-0.12319,-0.01089,-0.13927,60.424,66.716
"2004-02-15 14:00:00",7972,11.96872,505,0,-0.33,-0.01,-1.35,-0.00185,-0.12073,-0.00725,-0.13893,59.479,67.695
"2004-02-15 14:30:00",7973,11.95613,505,0,-0.338,-0.05,-1.34,-0.00563,-0.11917,-0.00915,-0.13991,59.038,67.668
