"TOA5","CR300Series_402","CR300","27021","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-26 12:00:00",0,12.97,402,1,1.862,9.47,12.65,0.838,1.12,0.748,0.594,47.74,42.51
"2021-05-26 12:30:00",1,13.1,402,1,2.345,13.02,14.7,1.152,1.301,0.849,0.623,43.39,40.96
"2021-05-26 13:00:00",2,13.17,402,1,2.215,11.29,15.03,0.999,1.33,0.81,0.647,43.55,40.8
"2021-05-26 13:30:00",3,13.05,402,1,2.355,12.83,15.04,1.135,1.331,0.872,0.647,44.6,40.36
"2021-05-26 14:00:00",4,13.02,402,1,2.257,11.93,14.83,1.056,1.313,0.853,0.65,45.33,40.67
"2021-05-26 14:30:00",5,13.13,402,1,2.289,12.07,15.07,1.068,1.334,0.862,0.65,44.85,40.87
"2021-05-26 15:00:00",6,13.13,402,1,2.282,12.15,14.89,1.076,1.318,0.849,0.645,44.47,41.2
"2021-05-26 15:30:00",7,13.08,402,1,2.213,11.81,14.41,1.045,1.275,0.837,0.635,45.11,41.12
"2021-05-26 16:00:00",8,13,402,1,2.148,11.32,14.15,1.002,1.253,0.822,0.631,44.82,41.81
"2021-05-26 16:30:00",9,12.95,402,1,2.094,11.17,13.64,0.989,1.207,0.797,0.603,45.74,42.74
"2021-05-26 17:00:00",10,12.93,402,1,2.071,11.03,13.52,0.977,1.196,0.772,0.586,46.96,43.55
"2021-05-26 17:30:00",11,12.9,402,1,2.023,10.83,13.14,0.958,1.163,0.744,0.561,47.28,44.54
"2021-05-26 18:00:00",12,12.88,402,1,1.904,10.17,12.39,0.9,1.097,0.69,0.515,48,45
"2021-05-26 18:30:00",13,12.86,402,1,1.727,9.23,11.23,0.817,0.994,0.623,0.453,49.15,47.13
"2021-05-26 19:00:00",14,12.84,402,1,1.473,7.85,9.61,0.695,0.851,0.517,0.359,52.41,49.41
"2021-05-26 19:30:00",15,12.83,402,1,1.008,5.46,6.47,0.483,0.573,0.326,0.168,52.85,51.25
"2021-05-26 20:00:00",16,12.81,402,1,0.544,2.97,3.47,0.263,0.307,0.155,-0.011,53.43,51.67
"2021-05-26 20:30:00",17,12.79,402,1,0.313,1.77,1.93,0.156,0.171,0.065,-0.109,54.06,52.04
"2021-05-26 21:00:00",18,12.79,402,1,0.194,1.15,1.13,0.102,0.1,0.021,-0.159,53.48,50.32
"2021-05-26 21:30:00",19,12.78,402,1,0.125,0.8,0.66,0.071,0.059,-0.003,-0.191,54.16,51.16
"2021-05-26 22:00:00",20,12.77,402,1,0.101,0.7,0.48,0.062,0.042,-0.011,-0.206,54.73,50.74
