"TOA5","CR300Series_405","CR300","27023","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-26 11:00:00",0,0,405,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-05-26 11:30:00",1,12.68,405,0,1.151,1.26,4.73,0.111,0.419,0.114,0.403,53.23,43.17
"2021-05-26 12:00:00",2,12.73,405,0,1.292,1.8,4.9,0.159,0.433,0.147,0.419,51.54,43.71
"2021-05-26 12:30:00",3,12.78,405,0,1.361,2.03,5.02,0.179,0.444,0.154,0.432,50.83,44.24
"2021-05-26 13:00:00",4,12.91,405,0,1.341,1.72,5.24,0.152,0.464,0.142,0.451,51.64,44.47
"2021-05-26 13:30:00",5,13,405,0,1.32,1.54,5.32,0.136,0.471,0.132,0.452,50.47,44.14
"2021-05-26 14:00:00",6,12.98,405,0,1.354,1.57,5.47,0.139,0.485,0.132,0.463,49.76,43.43
"2021-05-26 14:30:00",7,12.97,405,0,1.411,1.72,5.61,0.153,0.497,0.143,0.476,49.02,43.94
"2021-05-26 15:00:00",8,12.91,405,0,1.399,1.64,5.63,0.145,0.498,0.137,0.475,51.24,44.23
"2021-05-26 15:30:00",9,12.93,405,0,1.329,1.54,5.37,0.136,0.475,0.132,0.46,50.75,43.58
"2021-05-26 16:00:00",10,13,405,0,1.332,1.61,5.31,0.143,0.47,0.133,0.445,50.12,43.78
"2021-05-26 16:30:00",11,12.94,405,0,1.288,1.63,5.06,0.145,0.448,0.138,0.434,50.18,43.01
"2021-05-26 17:00:00",12,12.89,405,0,1.258,1.5,5.04,0.133,0.446,0.128,0.425,50.65,43.9
"2021-05-26 17:30:00",13,12.85,405,0,1.176,1.43,4.68,0.127,0.415,0.118,0.4,49.94,43.45
"2021-05-26 18:00:00",14,12.83,405,0,1.132,1.39,4.49,0.123,0.397,0.123,0.381,49.16,43.81
"2021-05-26 18:30:00",15,12.8,405,0,1.062,1.29,4.23,0.114,0.374,0.111,0.365,48.79,43.29
"2021-05-26 19:00:00",16,12.78,405,0,0.949,1.16,3.77,0.103,0.334,0.101,0.327,49.49,42.17
"2021-05-26 19:30:00",17,12.77,405,0,0.863,1.13,3.35,0.1,0.297,0.1,0.294,48.39,42.05
"2021-05-26 20:00:00",18,12.76,405,0,0.716,0.89,2.83,0.079,0.25,0.082,0.254,48.51,41.5
"2021-05-26 20:30:00",19,12.74,405,0,0.62,0.79,2.43,0.07,0.215,0.074,0.229,48.66,41.9
"2021-05-26 21:00:00",20,12.73,405,0,0.566,0.68,2.26,0.06,0.2,0.066,0.215,49.9,41.74
