"TOA5","CR300Series_501","CR300","27030","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOuter1","VhInner1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-07-27 13:30:00",0,0,501,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-11-23 12:00:00",1,0,501,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-11-23 12:30:00",2,0,501,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-11-23 13:00:00",3,12.61,501,1,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2021-12-17 16:30:00",4,12.58,501,1,0.096,0.22,2.77,0.019,0.245,0.024,0.264,57.77,57.83
"2021-12-17 17:00:00",5,12.54,501,1,0.877,0.19,2.6,0.016,0.23,0.021,0.252,57.56,55.39
"2021-12-17 17:30:00",6,12.58,501,1,0.811,0.16,2.42,0.015,0.214,0.021,0.239,56.7,54.94
"2021-12-17 18:00:00",7,12.57,501,1,0.792,0.14,2.38,0.012,0.211,0.019,0.233,57.04,56.11
"2021-12-17 18:30:00",8,12.57,501,1,0.795,0.16,2.37,0.014,0.21,0.021,0.232,57.78,55.45
"2021-12-17 19:00:00",9,12.57,501,1,0.776,0.16,2.31,0.014,0.205,0.021,0.23,57.81,55.79
"2021-12-17 19:30:00",10,12.57,501,1,0.783,0.18,2.31,0.016,0.204,0.023,0.227,57.32,56.8
"2021-12-17 20:00:00",11,12.57,501,1,0.773,0.16,2.3,0.014,0.203,0.019,0.226,57.57,56.63
"2021-12-17 20:30:00",12,12.56,501,1,0.767,0.14,2.3,0.012,0.204,0.021,0.227,58.14,56.38
"2021-12-17 21:00:00",13,12.56,501,1,0.786,0.18,2.32,0.016,0.206,0.022,0.226,57.53,55.36
"2021-12-17 21:30:00",14,12.56,501,1,0.773,0.16,2.3,0.014,0.204,0.021,0.227,57.78,56.02
"2021-12-17 22:00:00",15,12.56,501,1,0.77,0.14,2.31,0.013,0.204,0.023,0.23,57.42,55.82
"2021-12-17 22:30:00",16,12.56,501,1,0.779,0.16,2.32,0.014,0.206,0.021,0.229,58.51,55.5
"2021-12-17 23:00:00",17,12.56,501,1,0.766,0.12,2.32,0.011,0.205,0.019,0.228,57.31,56.12
"2021-12-17 23:30:00",18,12.56,501,1,0.795,0.2,2.33,0.018,0.207,0.024,0.231,57.58,55.82
"2021-12-18 00:00:00",19,12.55,501,1,0.783,0.18,2.31,0.016,0.204,0.023,0.227,57.58,56.07
"2021-12-18 00:30:00",20,12.56,501,1,0.757,0.08,2.33,0.007,0.207,0.018,0.229,57.86,56.36
