"TOA5","CR200Series_2_301","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-09-05 10:30:00",15872,12.58319,301,1,6.908,13.68,10.18,1.06886,0.79559,0.6054,0.27958,36.607,37.594
"2021-09-05 11:00:00",15873,12.61425,301,1,6.852,13.36,10.32,1.04426,0.80655,0.60476,0.29098,36.692,33.94
"2021-09-05 11:30:00",15874,12.73932,301,1,6.954,13.58,10.45,1.06147,0.81663,0.62555,0.29692,36.273,32.587
"2021-09-05 12:00:00",15875,12.71582,301,1,7.078,13.98,10.47,1.09286,0.81815,0.60571,0.30754,35.813,32.543
"2021-09-05 12:30:00",15876,12.85769,301,1,6.909,13.13,10.77,1.02647,0.84171,0.61864,0.31113,36.647,34.88
"2021-09-05 13:00:00",15877,12.77458,301,1,6.424,12.06,10.17,0.94251,0.79481,0.61397,0.31414,36.632,33.206
"2021-09-05 13:30:00",15878,12.74436,301,1,6.786,13.42,10.02,1.04849,0.78283,0.60169,0.30296,36.565,34.229
"2021-09-05 14:00:00",15879,12.76535,301,1,7.141,14.23,10.43,1.11217,0.81471,0.60121,0.30266,36.251,33.916
"2021-09-05 14:30:00",15880,12.76954,301,1,7.316,15.17,10.06,1.18545,0.78613,0.58042,0.28858,35.388,33.779
"2021-09-05 15:00:00",15881,12.71918,301,1,7.054,14.08,10.28,1.10053,0.80307,0.57722,0.27834,36.633,36.79
"2021-09-05 15:30:00",15882,12.69735,301,1,6.141,11.85,9.38,0.92577,0.73329,0.53628,0.23905,37.981,37.045
