"TOA5","CR200Series","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-05-05 10:30:00",11270,11.12424,301,0,4.334,5.48,10.77,0.42486,0.83541,0.35999,0.47851,47.952,38.973
"2021-05-05 11:00:00",11271,11.17377,301,0,4.418,5.7,10.86,0.44223,0.84255,0.36367,0.48517,46.831,38.574
"2021-05-05 11:30:00",11272,11.17713,301,0,4.827,6.25,11.84,0.48463,0.91815,0.38234,0.51176,45.371,36.698
"2021-05-05 12:00:00",11273,11.89485,301,0,4.795,6.24,11.73,0.48367,0.90981,0.44716,0.52939,59.217,38.505
"2021-05-05 12:30:00",11274,11.52214,301,0,4.203,4.54,11.27,0.35174,0.87414,0.3225,0.53716,45.05,36.794
"2021-05-05 13:00:00",11275,11.59601,301,0,5.345,6.65,13.4,0.51554,1.03915,0.43138,0.56396,48.284,37.534
"2021-05-05 13:30:00",11276,11.58677,301,0,5.124,6.71,12.49,0.5204,0.96849,0.36944,0.55296,42.302,36.539
"2021-05-05 14:00:00",11277,11.18468,301,0,6.213,7.95,15.34,0.61653,1.18959,0.40885,0.56771,42.4,36.064
"2021-05-05 14:30:00",11278,11.19728,301,0,5.423,7.07,13.25,0.5481,1.02742,0.47386,0.54553,57.883,36.754
"2021-05-05 15:00:00",11279,10.97482,301,0,5.306,6.2,13.73,0.48104,1.0647,0.39398,0.54409,45.717,36.891
"2021-05-05 15:30:00",11280,11.08983,301,0,5.346,6.21,13.87,0.48133,1.07588,0.39236,0.54879,47.801,36.326
"2021-05-05 16:00:00",11281,11.08563,301,0,5.15,6.03,13.31,0.46801,1.03265,0.38665,0.53586,46.913,36.843
"2021-05-05 16:30:00",11282,11.01512,301,0,4.764,6.09,11.77,0.47261,0.9127,0.37676,0.50902,47.594,37.678
"2021-05-05 17:00:00",11283,10.79183,301,0,5.437,7.33,13.03,0.56822,1.01061,0.39736,0.48068,46.621,38.476
"2021-05-05 17:30:00",11284,10.6827,301,0,4.588,6.46,10.7,0.50092,0.8296,0.3524,0.3659,48.233,39.411
"2021-05-05 18:00:00",11285,10.65668,301,0,3.774,5.29,8.83,0.41062,0.68514,0.30266,0.30418,52.098,38.86
"2021-05-05 18:30:00",11286,10.56853,301,0,3.463,4.92,8.03,0.38187,0.62248,0.27812,0.26002,51.748,40.429
"2021-05-05 19:00:00",11287,10.58868,301,0,2.849,4.13,6.52,0.32054,0.50534,0.23195,0.19912,54.021,40.627
"2021-05-05 19:30:00",11288,10.37043,301,0,2.255,3.28,5.15,0.2542,0.39914,0.1739,0.14585,54.179,39.541
"2021-05-05 20:00:00",11289,10.56098,301,0,1.973,2.93,4.44,0.22752,0.34435,0.15524,0.09636,53.031,38.807
"2021-05-05 20:30:00",11290,10.54923,301,0,1.853,2.78,4.14,0.21597,0.32124,0.1355,0.08598,54.67,36.702
"2021-05-05 21:00:00",11291,10.56014,301,0,1.697,2.53,3.81,0.1962,0.2953,0.12124,0.07059,53.776,38.721
"2021-05-05 21:30:00",11292,10.54839,301,0,1.563,2.33,3.51,0.18091,0.27248,0.10112,0.05845,53.667,39.858
"2021-05-05 22:00:00",11293,10.55091,301,0,1.52,2.2,3.48,0.17094,0.26966,0.10763,0.0625,53.567,40.174
"2021-05-05 22:30:00",11294,10.55091,301,0,1.486,2.2,3.35,0.17046,0.26,0.09638,0.05124,52.637,39.242
"2021-05-05 23:00:00",11295,10.52153,301,0,1.422,2.13,3.18,0.16506,0.24669,0.09772,0.05086,51.758,37.533
"2021-05-05 23:30:00",11296,10.36707,301,0,1.37,1.99,3.13,0.15472,0.24282,0.09322,0.03905,53.096,38.872
"2021-05-06 00:00:00",11297,10.53916,301,0,1.37,2.03,3.09,0.15781,0.23946,0.09078,0.04666,54.262,37.278
