"TOA5","CR200Series_302","CR2xx","","v05","Sapflux2sensor.","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-06-06 14:00:00",26932,13.23124,302,1,1.119,2.88,1.36,0.22616,0.10656,0.09045,0.02849,39.345,40.067
"2022-06-06 14:30:00",26933,13.25726,302,1,1.073,2.72,1.35,0.21379,0.10557,0.08934,0.03022,39.918,40.64
"2022-06-06 15:00:00",26934,13.24047,302,1,1.079,2.77,1.32,0.21706,0.10342,0.08868,0.02836,39.4,40.95
"2022-06-06 15:30:00",26935,13.25222,302,1,1.047,2.67,1.3,0.20945,0.10192,0.08934,0.02848,40.179,40.489
"2022-06-06 16:00:00",26936,13.28244,302,1,1.016,2.61,1.24,0.20486,0.09704,0.08761,0.02274,40.242,40.553
"2022-06-06 16:30:00",26937,13.24383,302,1,0.978,2.48,1.23,0.19444,0.0966,0.07872,0.02456,39.498,39.55
"2022-06-06 17:00:00",26938,13.18842,302,1,0.913,2.35,1.11,0.18438,0.08676,0.07639,0.0192,39.507,39.403
"2022-06-06 17:30:00",26939,13.15485,302,1,0.863,2.22,1.05,0.17406,0.08226,0.06746,0.01536,39.914,40.378
"2022-06-06 18:00:00",26940,13.1305,302,1,0.769,2.01,0.9,0.15796,0.07077,0.06238,0.01162,39.397,40.379
"2022-06-06 18:30:00",26941,13.07846,302,1,0.735,1.95,0.83,0.1527,0.06482,0.06004,0.01176,38.513,39.236
"2022-06-06 19:00:00",26942,13.03648,302,1,0.666,1.78,0.74,0.13942,0.0578,0.0505,0.0059,38.737,39.873
