"TOA5","CR200Series_304","CR2xx","","v05","Sapflux2sensor.","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-05-01 09:30:00",627,12.61089,304,0,-99,-99,-99,-99,-99,-99,-99,47.076,37.572
"2024-05-01 10:00:00",628,12.62264,304,0,-99,-99,-99,-99,-99,-5.04534,-99,45.297,37.295
"2024-05-01 10:30:00",629,12.6302,304,0,-99,-99,-99,-99,-99,-5.36026,-99,46.591,37.084
"2024-05-01 11:00:00",630,12.61761,304,0,-99,-99,-99,-99,-99,-99,-99,45.715,37.713
"2024-05-01 11:30:00",631,12.61341,304,0,-99,-99,-99,-99,-99,-99,-99,51.597,39.029
"2024-05-01 12:00:00",632,12.60921,304,0,-99,-99,-99,-99,-99,-99,-99,49.315,39.5
"2024-05-01 12:30:00",633,12.58571,304,0,-99,-99,-99,-99,-99,-5.36678,-99,43.856,37.107
"2024-05-01 13:00:00",634,12.60585,304,0,-99,-99,-99,-99,-99,-4.71703,-99,43.005,37.084
"2024-05-01 13:30:00",635,12.61257,304,0,-99,-99,-99,-99,-99,-4.48643,-99,43.203,36.449
"2024-05-01 14:00:00",636,12.61089,304,0,-0.089,-2.16,-99,-0.19219,-99,-5.36678,-99,44.192,36.867
"2024-05-01 14:30:00",637,12.60417,304,0,-2.464,-58.85,-99,-5.20982,-99,-5.37334,-99,44.659,37.232
"2024-05-01 15:00:00",638,12.58906,304,0,-2.1,-50.17,-99,-4.44139,-99,-5.39326,-99,44.529,36.11
"2024-05-01 15:30:00",639,12.59242,304,0,-2.339,-55.87,-99,-4.94618,-99,-5.39326,-99,44.86,36.436
"2024-05-01 16:00:00",640,12.58235,304,0,-99,-99,-99,-99,-99,-4.41075,-99,44.938,37.352
"2024-05-01 16:30:00",641,12.58571,304,0,-99,-99,-99,-99,-99,-4.44919,-99,43.892,36.307
"2024-05-01 17:00:00",642,12.57479,304,0,-99,-99,-99,-99,-99,-4.72047,-99,46.322,36.648
"2024-05-01 17:30:00",643,12.57731,304,0,-1.647,-39.34,-99,-3.48248,-99,-4.68679,-99,45.51,36.261
"2024-05-01 18:00:00",644,12.5622,304,0,-99,-99,-99,-99,-99,-4.59207,-99,45.423,36.324
"2024-05-01 18:30:00",645,12.5664,304,0,-99,-99,-99,-99,-99,-4.62267,-99,45.006,35.494
"2024-05-01 19:00:00",646,12.55549,304,0,-99,-99,-99,-99,-99,-4.58607,-99,45.94,35.701
"2024-05-01 19:30:00",647,12.55884,304,0,-99,-99,-99,-99,-99,-4.22343,-99,45.49,36.234
"2024-05-01 20:00:00",648,12.55801,304,0,-99,-63.37,-99,-5.60972,-99,-5.5297,-99,44.327,35.232
"2024-05-01 20:30:00",649,12.55129,304,0,-99,-99,-99,-99,-99,-4.51667,-99,43.241,35.234
"2024-05-01 21:00:00",650,12.53534,304,0,-99,-99,-99,-99,-99,-5.54518,-99,43.501,35.495
"2024-05-01 21:30:00",651,12.54038,304,0,-99,-61.16,-99,-5.41362,-99,-5.53742,-99,43.873,34.773
"2024-05-01 22:00:00",652,12.50512,304,0,-1.91,-45.63,-99,-4.0394,-99,-5.54518,-99,43.725,35.456
"2024-05-01 22:30:00",653,12.5068,304,0,-99,-61.31,-99,-5.42742,-99,-5.55304,-99,45.602,35.251
"2024-05-01 23:00:00",654,12.53366,304,0,-1.895,-45.28,-99,-4.00864,-99,-4.34983,-99,42.216,37.38
"2024-05-01 23:30:00",655,12.49421,304,0,-2.069,-49.43,-99,-4.37619,-99,-4.62267,-99,43.572,35.302
"2024-05-02 00:00:00",656,12.52023,304,0,-99,-99,-99,-99,-99,-4.79143,-99,43.365,35.353
"2024-05-02 00:30:00",657,12.52359,304,0,-99,-99,-99,-99,-99,-4.74475,-99,43.726,35.144
"2024-05-02 01:00:00",658,12.52107,304,0,-99,-99,-99,-99,-99,-4.81375,-99,44.186,35.345
