"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-11-17 15:30:00",16579,11.09822,305,0,2.575,3.21,4.35,0.26058,0.35278,0.26641,0.42296,37.826,37.721
"2021-11-17 16:00:00",16580,11.06716,305,0,2.134,2.58,3.69,0.20949,0.29916,0.23296,0.38146,35.861,38.929
"2021-11-17 16:30:00",16581,11.06632,305,0,1.712,1.91,3.13,0.15522,0.25364,0.19398,0.33644,34.964,37.77
"2021-11-17 17:00:00",16582,11.05457,305,0,1.446,1.55,2.71,0.126,0.21981,0.16798,0.31138,35.403,38.212
"2021-11-17 17:30:00",16583,11.04618,305,0,1.282,1.31,2.47,0.1064,0.20066,0.15756,0.2967,36.698,36.853
"2021-11-17 18:00:00",16584,11.03694,305,0,1.166,1.14,2.3,0.09246,0.18633,0.13604,0.27684,36.182,40.394
"2021-11-17 18:30:00",16585,11.02939,305,0,1.179,1.17,2.31,0.09528,0.1877,0.14168,0.28222,38.177,38.75
"2021-11-17 19:00:00",16586,11.00588,305,0,1.152,1.13,2.27,0.09172,0.18433,0.14168,0.27673,36.305,36.616
"2021-11-17 19:30:00",16587,11.0168,305,0,1.178,1.12,2.36,0.0911,0.19106,0.14129,0.2795,35.624,37.446
"2021-11-17 20:00:00",16588,10.99245,305,0,1.134,1.08,2.27,0.08786,0.18433,0.14129,0.27396,36.872,36.924
"2021-11-17 20:30:00",16589,11.00001,305,0,1.056,0.98,2.14,0.07922,0.17368,0.12908,0.26428,37.452,37.347
"2021-11-17 21:00:00",16590,10.99245,305,0,1.052,0.95,2.16,0.0771,0.17563,0.1298,0.26678,38.535,39.002
"2021-11-17 21:30:00",16591,10.96811,305,0,1.079,0.99,2.2,0.08028,0.17832,0.13792,0.27226,35.342,36.226
"2021-11-17 22:00:00",16592,10.96727,305,0,1.08,1.01,2.18,0.0822,0.17694,0.13724,0.26484,36.035,36.607
"2021-11-17 22:30:00",16593,10.97566,305,0,1.073,1.02,2.15,0.0825,0.17417,0.13465,0.26568,36.5,37.228
"2021-11-17 23:00:00",16594,10.953,305,0,1.059,0.95,2.18,0.07735,0.17694,0.13058,0.2621,35.36,37.337
"2021-11-17 23:30:00",16595,10.96055,305,0,1.111,1.09,2.19,0.08844,0.17757,0.13724,0.26568,36.303,38.279
"2021-11-18 00:00:00",16596,10.95216,305,0,1.104,1.06,2.2,0.0858,0.17888,0.13764,0.27016,35.829,37.392
"2021-11-18 00:30:00",16597,10.93201,305,0,1.111,1.06,2.22,0.0861,0.18024,0.1384,0.27192,35.94,38.335
"2021-11-18 01:00:00",16598,10.93621,305,0,1.06,1.01,2.12,0.0822,0.17204,0.13501,0.27106,38.159,38.211
"2021-11-18 01:30:00",16599,10.92781,305,0,1.018,0.93,2.08,0.07506,0.1689,0.1269,0.25928,36.452,38.43
"2021-11-18 02:00:00",16600,10.9211,305,0,1.053,1.01,2.1,0.08164,0.17015,0.132,0.26375,36.353,36.822
"2021-11-18 02:30:00",16601,10.90767,305,0,1.042,0.96,2.12,0.07816,0.17224,0.13206,0.26294,36.441,37.586
"2021-11-18 03:00:00",16602,10.885,305,0,1.009,0.95,2.03,0.07735,0.1649,0.12864,0.25732,36.71,37.021
"2021-11-18 03:30:00",16603,10.885,305,0,1.063,1,2.14,0.08138,0.17354,0.13536,0.26826,36.299,36.349
"2021-11-18 04:00:00",16604,10.88836,305,0,1.087,1.03,2.18,0.08339,0.1768,0.13692,0.26805,36.875,37.759
"2021-11-18 04:30:00",16605,10.87829,305,0,1.074,1.03,2.14,0.08339,0.174,0.13427,0.2689,35.478,37.038
"2021-11-18 05:00:00",16606,10.85478,305,0,1.015,0.92,2.08,0.07458,0.16862,0.13011,0.26154,36.265,36.993
