"TOA5","CR200Series_305","CR200X","No_SN","CR200X.Std.03","Sapflux2sensors1_20200912.CR2","63887","Table2"
"TIMESTAMP","RECORD","BattV_Min","id","SDI1","SapFlwTot1","VhOut1","VhIn1","AlphaOut1","AlphaIn1","BetaOut1","BetaIn1","tMaxTout1","tMaxTin1"
"TS","RN","Volts","","","unit","unit","unit","unit","unit","unit","unit","unit","unit"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-01-31 08:00:00",3351,12.40942,305,1,0.251,0.72,0.44,0.05416,0.03316,0.07437,0.05639,34.869,34.92
"2021-01-31 08:30:00",3352,12.41278,305,1,0.244,0.69,0.44,0.05152,0.03316,0.0762,0.05446,34.972,34.715
"2021-01-31 09:00:00",3353,12.39935,305,1,0.216,0.62,0.38,0.04648,0.02834,0.06998,0.05251,34.815,34.711
"2021-01-31 09:30:00",3354,12.39767,305,1,0.238,0.69,0.41,0.05167,0.03082,0.07639,0.05458,35.448,34.519
"2021-01-31 10:00:00",3355,12.40607,305,1,0.229,0.68,0.38,0.051,0.02834,0.07394,0.05458,35.61,34.68
"2021-01-31 10:30:00",3356,12.39767,305,1,0.245,0.75,0.38,0.056,0.02834,0.0762,0.05261,35.293,34.208
"2021-01-31 11:00:00",3357,12.39431,305,1,0.258,0.78,0.41,0.05864,0.03069,0.0762,0.05458,35.716,35.2
"2021-01-31 11:30:00",3358,12.39096,305,1,0.273,0.82,0.44,0.06106,0.03282,0.08034,0.05626,35.759,34.83
"2021-01-31 12:00:00",3359,12.38844,305,1,0.258,0.78,0.41,0.05842,0.03076,0.07822,0.05649,35.466,34.95
"2021-01-31 12:30:00",3360,12.40271,305,1,0.266,0.76,0.47,0.05712,0.03506,0.07694,0.05801,35.352,34.99
"2021-01-31 13:00:00",3361,12.38592,305,1,0.288,0.83,0.5,0.06206,0.0373,0.07872,0.05944,35.504,34.73
