"TOA5","CR200Series_506","CR200X","No_SN","CR200X.Std.00","Sapflux2sensors1.CR2","63887","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHo","heatVeloci","heatVeloci","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-12-19 05:00:00",796,12.11478,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 05:30:00",797,12.11478,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 06:00:00",798,12.10891,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 06:30:00",799,12.10135,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 07:00:00",800,12.10387,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 07:30:00",801,12.09715,506,0,-0.005,-0.01,-0.02,-0.00181,-0.00271,0.00173,-0.00261,59.325,53.481
"2022-12-19 08:00:00",802,12.09044,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 08:30:00",803,12.12905,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 09:00:00",804,12.18529,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 09:30:00",805,12.22727,506,0,-0.067,-0.51,0.18,-0.04615,0.01582,-0.02121,0.01522,57.335,53.296
"2022-12-19 10:00:00",806,12.40775,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 10:30:00",807,12.65622,506,0,0.561,2.1,0.72,0.18592,0.06402,-99,0.05018,-99,57.687
"2022-12-19 11:00:00",808,13.00543,506,0,-0.013,0.1,-0.18,0.00889,-0.01657,0.03378,-0.00761,50.616,48.418
"2022-12-19 11:30:00",809,13.0751,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 12:00:00",810,12.64615,506,0,1.068,4.19,1.17,0.37124,0.10368,-99,-99,-99,-99
"2022-12-19 12:30:00",811,12.53954,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 13:00:00",812,12.48497,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 13:30:00",813,12.3918,506,0,0.14,0.72,3.5,0.06381,0.30944,0.05166,0.21852,51.421,32.992
"2022-12-19 14:00:00",814,12.34647,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 14:30:00",815,12.31876,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 15:00:00",816,12.28435,506,0,0.162,1,3.82,0.0889,0.33799,0.07052,0.23744,51.567,33.958
"2022-12-19 15:30:00",817,12.28351,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 16:00:00",818,12.26168,506,0,0.1,0.02,0.5,0.00185,0.04392,0.00738,0.03426,56.393,52.933
"2022-12-19 16:30:00",819,12.25077,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-12-19 17:00:00",820,12.24573,506,0,0.091,0.37,2.4,0.03251,0.21277,0.0231,0.17322,51.589,32.306
"2022-12-19 17:30:00",821,12.23398,506,0,0.058,0.06,1.78,0.00542,0.15792,0.00256,0.14533,50.862,31.421
"2022-12-19 18:00:00",822,12.2323,506,0,0.04,-0.14,1.46,-0.01325,0.1295,-0.01507,0.13011,51.551,31.586
"2022-12-19 18:30:00",823,12.22391,506,0,0.027,-0.23,1.18,-0.02159,0.1047,-0.02305,0.11666,52.537,31.579
"2022-12-19 19:00:00",824,12.21803,506,0,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
