"TOA5","CR300Series_403","CR300","27029","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-06-18 20:30:00",1120,10.93,403,0,-0.077,-0.66,0.34,-0.059,0.03,-0.044,0.038,52.23,42.88
"2021-06-18 21:00:00",1121,10.92,403,0,-0.146,-0.56,-0.07,-0.05,-0.007,-0.041,0.003,50.9,43.44
"2021-06-18 21:30:00",1122,10.9,403,0,-0.213,-0.58,-0.35,-0.053,-0.032,-0.044,-0.023,50.99,43.13
"2021-06-18 22:00:00",1123,10.89,403,0,-0.247,-0.61,-0.47,-0.055,-0.043,-0.048,-0.036,53.6,43.85
"2021-06-18 22:30:00",1124,10.86,403,0,-0.294,-0.67,-0.62,-0.06,-0.056,-0.048,-0.039,53.17,41.64
"2021-06-18 23:00:00",1125,10.86,403,0,-0.273,-0.61,-0.59,-0.055,-0.053,-0.043,-0.036,51.85,41.95
"2021-06-18 23:30:00",1126,10.85,403,0,-0.257,-0.54,-0.59,-0.048,-0.053,-0.039,-0.036,54.27,43.8
"2021-06-19 00:00:00",1127,10.84,403,0,-0.28,-0.6,-0.63,-0.054,-0.057,-0.04,-0.039,52.15,43.06
"2021-06-19 00:30:00",1128,10.8,403,0,-0.257,-0.54,-0.59,-0.049,-0.053,-0.037,-0.042,52.6,42.69
"2021-06-19 01:00:00",1129,10.8,403,0,-0.271,-0.63,-0.56,-0.057,-0.05,-0.044,-0.036,51.4,41.9
"2021-06-19 01:30:00",1130,10.77,403,0,-0.269,-0.61,-0.57,-0.055,-0.051,-0.048,-0.034,53.46,45.19
"2021-06-19 02:00:00",1131,10.75,403,0,-0.211,-0.43,-0.5,-0.039,-0.046,-0.029,-0.028,51.84,41.67
"2021-06-19 02:30:00",1132,10.72,403,0,-0.242,-0.6,-0.46,-0.054,-0.042,-0.041,-0.031,52.56,43.06
"2021-06-19 03:00:00",1133,10.73,403,0,-0.237,-0.53,-0.51,-0.048,-0.046,-0.037,-0.035,50.92,45.25
"2021-06-19 03:30:00",1134,10.68,403,0,-0.274,-0.64,-0.56,-0.058,-0.05,-0.042,-0.038,52.26,42.34
"2021-06-19 04:00:00",1135,10.66,403,0,-0.237,-0.52,-0.52,-0.047,-0.047,-0.035,-0.036,51,44.11
"2021-06-19 04:30:00",1136,10.62,403,0,-0.244,-0.54,-0.53,-0.048,-0.047,-0.041,-0.029,52.29,41.82
"2021-06-19 05:00:00",1137,10.6,403,0,-0.226,-0.54,-0.45,-0.048,-0.041,-0.041,-0.026,50.39,43.5
"2021-06-19 05:30:00",1138,10.54,403,0,-0.23,-0.55,-0.46,-0.05,-0.041,-0.042,-0.03,50.9,41.81
