"TOA5","CR300Series_404","CR300","27028","CR300-RF407.Std.10.03","CPU:CR300_sapflow.CR300","8254","Table1"
"TIMESTAMP","RECORD","BattV_Min","id","SDI0","SapFlwTot0","VhOuter0","VhInner0","AlphaOut0","AlphaIn0","BetaOut0","BetaIn0","tMaxTout0","tMaxTin0"
"TS","RN","Volts","","","literPerHour","heatVelocity","heatVelocity","logTRatio","logTRatio","logTRatio","logTRatio","second","second"
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-08-11 11:00:00",2180,9.85,404,0,0.389,4.24,6.72,0.375,0.595,-99,0.457,-99,31.65
"2021-08-11 11:30:00",2181,9.84,404,0,0.586,8.12,7.83,0.719,0.693,0.608,0.482,37.68,30.49
"2021-08-11 12:00:00",2182,10,404,0,0.41,4.58,6.95,0.405,0.615,-99,0.487,57.81,32.31
"2021-08-11 12:30:00",2183,10.71,404,0,0.464,5.51,7.43,0.488,0.657,0.516,0.503,43.02,32.1
"2021-08-11 13:00:00",2184,10.71,404,0,0.455,4.97,7.86,0.44,0.696,0.497,0.506,37.15,31.64
"2021-08-11 13:30:00",2185,11.53,404,0,0.558,6.69,8.85,0.592,0.783,0.595,0.548,42.44,31.51
"2021-08-11 14:00:00",2186,11.01,404,0,0.83,11.38,11.25,1.007,0.996,0.744,0.582,37.13,30.62
"2021-08-11 14:30:00",2187,10.98,404,0,0.65,7.31,10.96,0.647,0.97,0.646,0.595,39.75,31.32
"2021-08-11 15:00:00",2188,11,404,0,0.716,8.93,10.9,0.79,0.965,0.686,0.58,39.18,31
"2021-08-11 15:30:00",2189,11.19,404,0,0.64,7.46,10.44,0.661,0.924,0.626,0.571,41.63,30.69
"2021-08-11 16:00:00",2190,11.15,404,0,0.679,8.5,10.29,0.753,0.911,0.656,0.56,40.74,30.23
"2021-08-11 16:30:00",2191,11.09,404,0,0.631,7.61,9.94,0.674,0.88,0.616,0.543,40.19,30.5
"2021-08-11 17:00:00",2192,11.03,404,0,0.595,7.13,9.44,0.631,0.836,0.589,0.534,41.7,30.35
"2021-08-11 17:30:00",2193,10.97,404,0,0.565,6.8,8.92,0.602,0.79,0.565,0.51,40.42,30.48
"2021-08-11 18:00:00",2194,10.94,404,0,0.508,6.09,8.05,0.539,0.713,0.515,0.474,40.91,30.24
"2021-08-11 18:30:00",2195,10.89,404,0,0.455,5.4,7.3,0.478,0.646,0.471,0.445,40.96,29.76
"2021-08-11 19:00:00",2196,10.87,404,0,0.366,4.31,5.9,0.381,0.522,0.393,0.388,40.6,29.66
"2021-08-11 19:30:00",2197,10.85,404,0,0.248,2.91,4.01,0.257,0.355,0.291,0.311,38.63,28.26
"2021-08-11 20:00:00",2198,10.83,404,0,0.166,1.84,2.82,0.163,0.249,0.221,0.258,38.9,27.7
"2021-08-11 20:30:00",2199,10.8,404,0,0.125,1.35,2.18,0.119,0.193,0.184,0.234,38.98,27.37
"2021-08-11 21:00:00",2200,10.77,404,0,0.111,1.12,2.04,0.099,0.181,0.163,0.232,37.7,28.17
